证券代码,证券名称,风险评分,风险项,风险项数量,风险详情
000911.SZ,南宁糖业,62,市净率过高;高负债率;短期负债风险;财报亏损;长期不分红,5,"该公司最新财报显示净利润为正，但市净率超过30;截止20230630,公司负债率为95.282%;截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;最新年报20221231净利润：-4.58亿;久不分红，公司最近一次现金分红为2011-12-31财报：10派1元(含税)"
601106.SH,中国一重,74,高应收款隐忧;扣非净利润陡降风险;应收账款占收入比例过高;经营现金流风险;短期负债风险,5,"截止20230630,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止20230630，公司扣非净利润相比去年同期降幅超过50%;截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为101.46%;截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%;截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3"
600611.SH,大众交通,80,财报亏损;诉讼风险;关联交易风险,3,最新年报20221231净利润：-2.74亿;截止至2023-09-26，公司近三年内诉讼仲裁次数大于2次;业务单一且大量关联方交易(关联交易方占净利润65.04%)
600592.SH,龙溪股份,90,财报亏损,1,最新年报20221231净利润：-599.00万
600167.SH,联美控股,100,,,
688337.SH,普源精电,95,诉讼风险,1,截止至2023-09-26，公司近三年内诉讼仲裁次数大于2次
000025.SZ,特力A,80,子公司解散;清仓式减持;拟大比例减持,3,特  力Ａ（000025）：特 力Ａ：关于解散控股子公司的公告TXT:http://disc.static.szse.cn/disc/disk03/finalpage/2023-08-01/c91825ca-5a02-461d-bdc5-b9ebd491e97e.PDF;深圳市特力（集团）股份有限公司（以下简称“公司”或“本公司”）于2023年7月19日收到股东深圳远致富海珠宝产业投资企业（有限合伙）（以下简称“远致富海”）出具的《关于拟减持特力A股票的函》，持本公司股份21919153股（占本公司总股本比例5.08%）的股东远致富海计划以集中竞价交易或大宗交易方式减持公司股份合计不超过21919153股（占本公司总股本比例不超过5.08%）；其中以集中竞价交易方式减持不超过8621166股，即不超过总股本2%，在本公告披露之日起15个交易日后的六个月内实施；以大宗交易方式减持不超过13297987股，即不超过总股本的3.08%，在本公告披露之日起的六个月内实施。(公告日期：20230720);深圳市特力（集团）股份有限公司（以下简称“公司”或“本公司”）于2023年7月19日收到股东深圳远致富海珠宝产业投资企业（有限合伙）（以下简称“远致富海”）出具的《关于拟减持特力A股票的函》，持本公司股份21919153股（占本公司总股本比例5.08%）的股东远致富海计划以集中竞价交易或大宗交易方式减持公司股份合计不超过21919153股（占本公司总股本比例不超过5.08%）；其中以集中竞价交易方式减持不超过8621166股，即不超过总股本2%，在本公告披露之日起15个交易日后的六个月内实施；以大宗交易方式减持不超过13297987股，即不超过总股本的3.08%，在本公告披露之日起的六个月内实施。
600017.SH,日照港,94,流动性风险,1,截止至2023-06-30，流动比率小于1，速动比率小于0.5
603577.SH,汇金通,79,扣非净利润陡降风险;经营现金流风险;短期负债风险,3,"截止20230630，公司扣非净利润相比去年同期降幅超过50%;截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%;截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3"
002508.SZ,老板电器,94,货币资产充足仍举债,1,"截止20230630,公司货币资产为58.79亿元,流动负债合计为50.09亿元"
603566.SH,普莱柯,100,,,
002033.SZ,丽江股份,100,,,
301260.SZ,格力博,85,经营现金流风险;财报亏损,2,"截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%;最新季度20230630净利润：-5390.70万"
001260.SZ,坤泰股份,100,,,
300376.SZ,易事特,80,高应收款隐忧;应收账款占收入比例过高;公司被立案调查,3,"截止20230630,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为147.50%;截止至20230511,易事特集团股份有限公司（以下简称""公司""）及第一大股东扬州东方集团有限公司之控制人何思模先生近日分别收到中国证券监督管理委员会（以下简称""中国证监会""）下发的《立案告知书》（证监立案字03720230018号、证监立案字03720230019号），因涉嫌信息披露违法违规，根据《中华人民共和国证券法》《中华人民共和国行政处罚法》等法律法规，中国证监会决定对公司及何思模先生立案。"
000816.SZ,智慧农业,75,扣非净利润陡降风险;财报亏损;股票频繁更名,3,截止20230630，公司扣非净利润相比去年同期降幅超过50%;最新年报20221231净利润：-2567.59万;截止目前，该公司历史更名次数达4次及以上
001208.SZ,华菱线缆,90,拟大比例减持,1,"二、后续减持计划的主要内容
    公司于近日收到持股5%以上的股东新湘先进的《股份减持计划告知函》，现将有关情况公告如下：
    （一）股东的基本情况
    1、股东名称：长沙新湘先进设备制造投资基金合伙企业（有限合伙）
    2、持股情况：截至2023年6月16日，新湘先进持有公司股份35760343股，占公司总股本的6.6914%，其一致行动人兴湘集团持有公司股份24857054股，占公司总股本的比例为4.6512%。兴湘集团与新湘先进合计持有公司股份60617397股，占公司总股本的比例为11.3426%。
    （二）本次减持计划的主要内容
    1、减持原因：自身资金需要。
    2、股份来源：首次公开发行股票前已持有的股份。
    3、减持方式：证券交易所集中竞价交易方式、大宗交易方式。
    4、拟减持股份数量、比例：计划减持公司股份数量不超过32065440股，即不超过公司总股本的6%。其中，采取大宗交易方式的，任意连续90个自然日内减持股份的总数不超过公司总股本的2%。采取大宗交易方式的，任意连续90个自然日内减持股份总数不超过公司总股本的1%。
    5、计划减持期间：通过大宗交易进行减持的，为公司披露本公告之日起3个交易日后的6个月内；通过集中竞价交易方式进行减持的，为公司披露本公告之日起15个交易日后的6个月内，根据法律法规规定禁止减持的敏感期除外。
    6、价格区间：根据减持时的市场价格及交易方式确定。
    7、若本次减持计划实施期间公司有送股、资本公积金转增股本等股份变动事项，将对该减持数量进行相应调整。"
603959.SH,百利科技,71,市盈率过高;扣非亏损;应收账款占收入比例过高;交易所公开谴责;控股股东高质押,5,"该公司最新财报显示净利润为正，但TTM市盈率超过300;该公司最新财报显示净利润为正，但扣非净利润为负;截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为81.25%;于2023-01-03公布关于对湖南百利工程科技股份有限公司、资产收购交易对方及有关责任人予以纪律处分的决定TXT:http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/eaa75979-dcf6-487a-8956-79529b181b27.pdf;该公司存在控股股东质押比例超80%"
002063.SZ,远光软件,95,应收账款占收入比例过高,1,"截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为123.44%"
300776.SZ,帝尔激光,89,存货同比大幅增加;应收账款占收入比例过高,2,"截止至20230630，该公司存货超过2亿且超过本期收入的1/3，存货相对去年同比增幅大于100%;截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为93.38%"
600276.SH,恒瑞医药,100,,,
000659.SZ,珠海中富,54,扣非亏损;高负债率;短期负债风险;流动性风险;财报亏损;股票频繁更名;长期不分红,7,"该公司最新财报显示净利润为正，但扣非净利润为负;截止20230630,公司负债率为82.537%;截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止至2023-06-30，流动比率小于1，速动比率小于0.5;最新年报20221231净利润：-1.86亿;截止目前，该公司历史更名次数达4次及以上;久不分红，公司最近一次现金分红为2011-12-31财报：10派0.1元(含税)"
300158.SZ,振东制药,85,扣非亏损;财报亏损,2,该公司最新财报显示净利润为正，但扣非净利润为负;最新年报20221231净利润：-5129.00万
603650.SH,彤程新材,95,关联交易风险,1,业务单一且大量关联方交易(关联交易方占净利润36.63%)
603116.SH,红蜻蜓,84,货币资产充足仍举债;财报亏损,2,"截止20230630,公司货币资产为17.62亿元,流动负债合计为14.98亿元;最新年报20221231净利润：-3699.64万"
871981.BJ,晶赛科技,85,财报亏损;股价脚踝斩,2,最新季度20230630净利润：-436.59万;公司股价较两年内历史最高价，下跌超过75%。
605199.SH,葫芦娃,90,会计师事务所变动;研发费用减少,2,"最近1-2年内,会计师事务所发生变动;截止2023-06-30,公司研发费用相比上年同期减少51.68%"
600309.SH,万华化学,94,流动性风险,1,截止至2023-06-30，流动比率小于1，速动比率小于0.5
300921.SZ,南凌科技,90,扣非净利润陡降风险,1,截止20230630，公司扣非净利润相比去年同期降幅超过50%
300037.SZ,新宙邦,84,扣非净利润陡降风险;货币资产充足仍举债,2,"截止20230630，公司扣非净利润相比去年同期降幅超过50%;截止20230630,公司货币资产为39.22亿元,流动负债合计为34.65亿元"
300653.SZ,正海生物,90,会计师事务所变动;股东退出,2,"最近1-2年内,会计师事务所发生变动;最新一个报告期,公司有超过5个非自然人股东有退出或减仓"
603558.SH,健盛集团,100,,,
600089.SH,特变电工,95,诉讼风险,1,截止至2023-09-26，公司近三年内诉讼仲裁次数大于2次
688543.SH,国科军工,100,,,
601898.SH,中煤能源,90,会计师事务所变动;关联交易风险,2,"最近1-2年内,会计师事务所发生变动;业务单一且大量关联方交易(关联交易方占净利润51.00%)"
601328.SH,交通银行,95,会计师事务所变动,1,"最近1-2年内,会计师事务所发生变动"
600820.SH,隧道股份,95,高应收款隐忧;应收账款占收入比例过高,2,"截止20230630,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为82.72%"
600925.SH,苏能股份,100,,,
000301.SZ,东方盛虹,88,短期负债风险;流动性风险,2,截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止至2023-06-30，流动比率小于1，速动比率小于0.5
002840.SZ,华统股份,73,营业外支出过大;短期负债风险;流动性风险;财报亏损,4,"截至20221231,该公司营业外支出超过营业利润的20%;截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止至2023-06-30，流动比率小于1，速动比率小于0.5;最新季度20230630净利润：-3.56亿"
002931.SZ,锋龙股份,80,扣非净利润陡降风险;拟大比例减持,2,"截止20230630，公司扣非净利润相比去年同期降幅超过50%;各持有本公司股份1141255股（占本公司总股本比例0.5729%）的董事李中、监事会主席卢国华、副总经理雷德友计划在本公告披露起15个交易日后的6个月内（即2023年8月22日至2024年2月21日）以集中竞价交易方式各自减持本公司股份不超过285300股（占本公司总股本比例0.1432%）；持本公司股份21238022股（占本公司总股本比例10.6622%）的董事长、总经理、持股5%以上股东董剑刚计划在本公告披露起15个交易日后的6个月内（即2023年8月22日至2024年2月21日）以集中竞价交易方式减持本公司股份不超过5309500股（占本公司总股本比例2.6655%）；
    持本公司股份10356579股（占本公司总股本比例5.1994%）的持股5%以上股东绍兴上虞威龙科技有限公司计划在本公告披露起15个交易日后的6个月内（即2023年8月22日至2024年2月21日）以集中竞价交易方式减持本公司股份不超过10356579股（占本公司总股本比例5.1994%）；
    持本公司股份3972000股（占本公司总股本比例1.9941%）的股东厉彩霞计划在本公告披露起15个交易日后的6个月内（即2023年8月22日至2024年2月21日）以集中竞价交易方式减持本公司股份不超过3972000股（占本公司总股本比例1.9941%）。"
301000.SZ,肇民科技,100,,,
000517.SZ,荣安地产,95,员工人数陡降,1,截止2022-12-31，公司员工人数相对上期下降43.20%
301051.SZ,信濠光电,77,扣非亏损;财报亏损;股权冻结,3,"该公司最新财报显示净利润为正，但扣非净利润为负;最新年报20221231净利润：-1.52亿;2023-09-14,信濠光电：关于公司持股5%以上股东部分股份被司法冻结的公告"
601089.SH,福元医药,100,,,
301175.SZ,中科环保,94,货币资产充足仍举债,1,"截止20230630,公司货币资产为14.53亿元,流动负债合计为11.75亿元"
603324.SH,盛剑环境,95,应收账款占收入比例过高,1,"截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为172.81%"
300936.SZ,中英科技,100,,,
002394.SZ,联发股份,100,,,
603979.SH,金诚信,100,,,
834950.BJ,迅安科技,100,,,
002672.SZ,东江环保,76,财报亏损;分析师评级下调;大比例解禁,3,"最新季度20230630净利润：-1.99亿;盈利预测与估值
    考虑到行业竞争加剧，下调2022年净利润21%至2.31亿元，引入2023年净利润2.88亿元。当前A股股价对应2022/2023年26/21倍P/E，当前H股股价对应2022/2023年11/9倍P/E。公司业绩承压，考虑资源化业务仍继续开拓，下调A股目标价10.1%至8.0元，对应2022/2023年34/27倍P/E，较当前股价有16%上行空间。下调H股目标价14.3%至4.2港元，对应2022/2023年16/13倍P/E，较当前股价有27%上行空间。;东江环保非公开发行限售,在三个月内解禁16067.80万股，解禁比例14.54%>8%"
002529.SZ,海源复材,84,流动性风险;财报亏损,2,截止至2023-06-30，流动比率小于1，速动比率小于0.5;最新季度20230630净利润：-3725.70万
600008.SH,首创环保,90,应收账款占收入比例过高;高财务费用,2,"截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为125.80%;截止2023-06-30,该公司财务费用高于归属母公司股东净利润。"
605338.SH,巴比食品,100,,,
688630.SH,芯碁微装,100,,,
000547.SZ,航天发展,64,营业外支出过大;应收账款占收入比例过高;应收账款坏账风险;高库存隐忧;财报亏损;审计报告其他非标;关联交易风险,7,"截至20221231,该公司营业外支出超过营业利润的20%;截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为268.06%;截止至2023-06-30,该公司应收账款(应收票据)周转天数大于500;截止至2023-06-30，货币资金占总资产不足15%，应收票据与应收款项之和占总资产超20%，存货占总资产超15%且存货周转率低于1.2 或 非房地产公司的存货超总资产的50%;最新季度20230630净利润：-3.35亿;我们提醒财务报表使用者关注，如财务报表附注“十一、2、或有事项”之“（1）未决诉讼仲裁—①业绩承诺补偿纠纷”所述，就业绩补偿义务人未能如期履行业绩补偿义务，航天发展子公司南京长峰航天电子科技有限公司（以下简称“南京长峰”）已向江苏省南京江北新区人民法院提起民事诉讼。由于案件尚未进入实体审理，南京长峰能否获得业绩补偿以及业绩补偿金额存在不确定性。本段内容不影响已发表的审计意见。;业务单一且大量关联方交易(关联交易方占净利润43.71%)"
600981.SH,汇鸿集团,67,市盈率过高;高应收款隐忧;扣非亏损;高财务费用;财报亏损;交易所监管,6,"该公司最新财报显示净利润为正，但TTM市盈率超过300;截止20230630,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;该公司最新财报显示净利润为正，但扣非净利润为负;截止2023-06-30,该公司财务费用高于归属母公司股东净利润。;最新年报20221231净利润：-5.00亿;关于江苏汇鸿国际集团股份有限公司控股股东同业竞争事项的监管工作函TXT:http://www.sse.com.cn/disclosure/credibility/supervision/measures/other/c/6009812023080790661423.doc"
600236.SH,桂冠电力,78,扣非净利润陡降风险;短期负债风险;流动性风险,3,截止20230630，公司扣非净利润相比去年同期降幅超过50%;截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止至2023-06-30，流动比率小于1，速动比率小于0.5
600900.SH,长江电力,83,短期负债风险;流动性风险;会计师事务所变动,3,"截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止至2023-06-30，流动比率小于1，速动比率小于0.5;最近1-2年内,会计师事务所发生变动"
688350.SH,富淼科技,72,扣非净利润陡降风险;股权冻结;拟大比例减持,3,"截止20230630，公司扣非净利润相比去年同期降幅超过50%;2023-08-08,富淼科技：华泰联合证券有限责任公司关于江苏富淼科技股份有限公司控股股东所持部分股份被冻结的核查意见;大股东持股的基本情况
    截至本公告披露日，江苏富淼科技股份有限公司（以下简称“富淼科技”或“公司”）股东北京瑞仕邦精细化工技术有限公司（以下简称“瑞仕邦”）持有公司股份10779977股，占公司股份总数的8.83%。此外，瑞仕邦转融通出借公司股份81000股，占公司总股本比例为0.06%，参与转融通出借业务所涉及股份不发生所有权转移。
    上述股份为瑞仕邦首次公开发行并上市前取得的股份，且已于2022年1月28日起上市流通
    减持计划的主要内容
    因企业自身业务发展需求，股东瑞仕邦拟通过集中竞价交易和大宗交易的方式减持其所持有的富淼科技股份不超过7329000股,即不超过公司总股本的6.00%，自减持计划公告披露之日起15个交易日后的6个月内进行。其中，采取集中竞价交易方式减持的数量不超过2443000股，比例不超过公司总股本的2.00%，且在任意连续90个自然日内，减持股份的总数不超过富淼科技股份总数的1%；采取大宗交易方式减持的数量不超过4886000股，比例不超过公司总股本的4.00%，且在任意连续90个自然日内，减持股份的总数不超过富淼科技股份总数的2%。
    集中竞价的减持期间为2023/7/10～2024/1/9"
600118.SH,中国卫星,95,应收账款占收入比例过高,1,"截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为118.67%"
002958.SZ,青农商行,87,诉讼风险;股权冻结;股权分散;股权被司法拍卖,4,"截止至2023-09-26，公司近三年内诉讼仲裁次数大于2次;2023-08-29,青农商行：关于股东股份被轮候冻结及将被司法拍卖的提示性公告;青岛国信发展(集团)有限责任公司(第一大股东)持股比例为9.08%。;青农商行：关于股东股份被轮候冻结及将被司法拍卖的提示性公告"
002280.SZ,联络互动,48,高负债率;短期负债风险;流动性风险;财报亏损;员工人数陡降;研发人员减少;诉讼风险;控股股东高质押;股权冻结,9,"截止20230630,公司负债率为92.106%;截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止至2023-06-30，流动比率小于1，速动比率小于0.5;最新季度20230630净利润：-4.78亿;截止2022-12-31，公司员工人数相对上期下降33.29%;截止2022-12-31,公司研发人员相对上期减少31.73%;截止至2023-09-26，公司近三年内诉讼仲裁次数大于2次;该公司存在控股股东质押比例超80%;2023-03-18,联络互动：关于控股股东所持股份被冻结及轮候冻结的公告"
870866.BJ,绿亨科技,95,成交不活跃,1,"截止20230925,该公司最近20日日均成交量低于30万股(北证低于10万股)"
836699.BJ,海达尔,95,股东户数偏少;市值偏小,2,"截至20230630，该公司股东户数<4000;截至20230925,该公司A股总市值低于12亿(北证低于5亿)"
600170.SH,上海建工,85,高应收款隐忧;高财务费用;诉讼风险,3,"截止20230630,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止2023-06-30,该公司财务费用高于归属母公司股东净利润。;截止至2023-09-26，公司近三年内诉讼仲裁次数大于2次"
872351.BJ,华光源海,100,,,
300408.SZ,三环集团,95,会计师事务所变动,1,"最近1-2年内,会计师事务所发生变动"
430718.BJ,合肥高科,92,最大客户占营收比过高,1,根据该公司20221231的数据：第一大客户占公司全部营业收入比例78.60%
300117.SZ,嘉寓股份,2,应收账款占收入比例过高;短期负债风险;最大客户占营收比过高;流动性风险;财报亏损;员工人数陡降;诉讼风险;控股股东高质押;被强制平仓;关联交易风险;可能被*ST,11,"截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为118.99%;截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;根据该公司20221231的数据：第一大客户占公司全部营业收入比例71.87%;截止至2023-06-30，流动比率小于1，速动比率小于0.5;最新季度20230630净利润：-1.80亿;截止2022-12-31，公司员工人数相对上期下降52.49%;截止至2023-09-26，公司近三年内诉讼仲裁次数大于2次;该公司存在控股股东质押比例超80%;嘉寓股份：关于控股股东部分股份解除司法冻结并被强制平仓暨持股变动超过1%的公告;业务单一且大量关联方交易(关联交易方占净利润667.66%);"
000702.SZ,正虹科技,64,负债率逐年递增;经营现金流风险;高负债率;短期负债风险;流动性风险;财报亏损;长期不分红,7,"截止20221231，资产负债率逐年递增10%以上且最近年度高于70%;截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%;截止20230630,公司负债率为94.263%;截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止至2023-06-30，流动比率小于1，速动比率小于0.5;最新季度20230630净利润：-4918.59万;久不分红，公司最近一次现金分红为2003-12-31财报：10派0.7元(含税)"
002983.SZ,芯瑞达,100,,,
600831.SH,广电网络,74,高应收款隐忧;营业外支出过大;扣非净利润陡降风险;应收账款占收入比例过高;短期负债风险,5,"截止20230630,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截至20221231,该公司营业外支出超过营业利润的20%;截止20230630，公司扣非净利润相比去年同期降幅超过50%;截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为212.81%;截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3"
600179.SH,安通控股,80,扣非净利润陡降风险;股票频繁更名;股权被司法拍卖,3,截止20230630，公司扣非净利润相比去年同期降幅超过50%;截止目前，该公司历史更名次数达4次及以上;安通控股：关于公司股东所持公司部分股份将被司法拍卖的提示性公告
300393.SZ,中来股份,85,高应收款隐忧;公允价值收益异常;经营现金流风险,3,"截止20230630,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止至20230630,该公司净利润大于1000万，公允价值变动收益和投资收益之和为负且绝对值大于净利润的1/4;截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%"
603689.SH,皖天然气,94,"应收款增加,低现金流",1,"截止20230630,公司应收账款增速为77.64%，净利润增速为43.83%，经营活动现金流（14749.91万元）小于净利润（18047.20万元）"
600128.SH,苏豪弘业,75,扣非净利润陡降风险;会计师事务所变动;诉讼风险;交易所监管,4,"截止20230630，公司扣非净利润相比去年同期降幅超过50%;最近1-2年内,会计师事务所发生变动;截止至2023-09-26，公司近三年内诉讼仲裁次数大于2次;关于苏豪弘业股份有限公司控股股东同业竞争事项的监管工作函TXT:http://www.sse.com.cn/disclosure/credibility/supervision/measures/other/c/6001282023080790661428.doc"
000541.SZ,佛山照明,90,高应收款隐忧;会计师事务所变动,2,"截止20230630,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;最近1-2年内,会计师事务所发生变动"
301002.SZ,崧盛股份,90,扣非净利润陡降风险,1,截止20230630，公司扣非净利润相比去年同期降幅超过50%
600107.SH,美尔雅,60,财报亏损;会计师事务所变动;审计报告保留意见;交易所监管;长期不分红,5,"最新季度20230630净利润：-1724.41万;最近1-2年内,会计师事务所发生变动;如“财务报表附注十四、其他重要事项4、股权投资”所述，贵公司全资子公司北京美尔雅能源科技有限公司本期与北京盛达启辰科技有限公司签订关于河北鼎森天然气有限公司增资扩股协议，对河北鼎森天然气有限公司现金投资6,000万,持股10%，上述投资协议于2022年12月30日解除，并收取相关资金补偿200万。2023年4月25日，子公司与北京驰赛远行能源发展有限公司签订债权转让协议，转让上述股权投资款形成的债权，截止2023年4月27日，转让款和相关资金补偿款已收回。我们未能获取充分适当的审计证据以证实该交易价格的公允性、真实性及其商业实质。
我们按照中国注册会计师审计准则的规定执行了审计工作。审计报告的“注册会计师对财务报表审计的责任”部分进一步阐述了我们在这些准则下的责任。按照中国注册会计师职业道德守则，我们独立于贵公司，并履行了职业道德方面的其他责任。我们相信，我们获取的审计证据是充分、适当的，为发表保留意见提供了基础。;就公司变更审计机构事项明确监管要求TXT:http://www.sse.com.cn/disclosure/credibility/supervision/measures/other/c/6001072023081090705092.doc;久不分红，公司最近一次现金分红为2000-12-31财报：10派1元(含税)"
600679.SH,上海凤凰,65,扣非净利润陡降风险;财报亏损;公司被立案调查,3,"截止20230630，公司扣非净利润相比去年同期降幅超过50%;最新年报20221231净利润：-3.08亿;截止至20230712,上海凤凰企业(集团)股份有限公司（以下简称：公司）于2023年7月12日收到中国证券监督管理委员会（以下简称：中国证监会）下发的《中国证券监督管理委员会立案告知书》（编号：证监立案字0032023034号）。因公司涉嫌信息披露违法违规，根据《中华人民共和国证券法》《中华人民共和国行政处罚法》等法律法规，中国证监会决定对公司立案。"
600606.SH,绿地控股,74,高应收款隐忧;营业外支出过大;扣非净利润陡降风险;高财务费用;高库存隐忧,5,"截止20230630,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截至20221231,该公司营业外支出超过营业利润的20%;截止20230630，公司扣非净利润相比去年同期降幅超过50%;截止2023-06-30,该公司财务费用高于归属母公司股东净利润。;截止至2023-06-30，货币资金占总资产不足15%，应收票据与应收款项之和占总资产超20%，存货占总资产超15%且存货周转率低于1.2 或 非房地产公司的存货超总资产的50%"
600956.SH,新天绿能,100,,,
603551.SH,奥普家居,100,,,
688358.SH,祥生医疗,100,,,
001318.SZ,阳光乳业,100,,,
601990.SH,南京证券,100,,,
839719.BJ,宁新新材,74,股东退出;长时间停牌;大比例解禁;高担保比例,4,"最新一个报告期,公司有超过5个非自然人股东有退出或减仓;于2022-09-29，Sep 29 2022  9:30AM单次停牌时长超过两个月;宁新新材首发、公开增发网下配售股份,在三个月内解禁1945.95万股，解禁比例20.90%>8%;截止至2023-06-30,该公司对外担保额合计占净资产的比例大于30%"
000417.SZ,合肥百货,100,,,
603035.SH,常熟汽饰,89,"应收款增加,低现金流;关联交易风险",2,"截止20230630,公司应收账款增速为41.41%，净利润增速为14.78%，经营活动现金流（13250.46万元）小于净利润（23002.53万元）;业务单一且大量关联方交易(关联交易方占净利润86.31%)"
833509.BJ,同惠电子,95,成交不活跃;股东户数偏少,2,"截止20230925,该公司最近20日日均成交量低于30万股(北证低于10万股);截至20230630，该公司股东户数<4000"
600390.SH,五矿资本,95,关联交易风险,1,业务单一且大量关联方交易(关联交易方占净利润2304.25%)
873223.BJ,荣亿精密,85,财报亏损;市值偏小,2,"最新季度20230630净利润：-1508.28万;截至20230925,该公司A股总市值低于12亿(北证低于5亿)"
600252.SH,中恒集团,79,营业外支出过大;货币资产充足仍举债;股东退出;诉讼风险,4,"截至20221231,该公司营业外支出超过营业利润的20%;截止20230630,公司货币资产为34.16亿元,流动负债合计为22.80亿元;最新一个报告期,公司有超过5个非自然人股东有退出或减仓;截止至2023-09-26，公司近三年内诉讼仲裁次数大于2次"
300234.SZ,开尔新材,100,,,
000880.SZ,潍柴重机,100,,,
000927.SZ,中国铁物,80,高应收款隐忧;经营现金流风险;股票频繁更名;长期不分红,4,"截止20230630,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%;截止目前，该公司历史更名次数达4次及以上;久不分红，公司最近一次现金分红为2012-12-31财报：10派0.1元(含税)"
600868.SH,梅雁吉祥,65,应收账款坏账风险;员工人数陡降;审计报告保留意见;股权分散,4,"截止至2023-06-30,该公司应收账款(应收票据)周转天数大于500;截止2022-12-31，公司员工人数相对上期下降31.22%;钟山县钟山镇土地整治项目社会投资人(ZSSZZB2022福字5号)(以下简称钟山土地整治项目)项目中标人为贺州市楷铭项目管理有限责任公司(以下简称贺州楷铭)(含联合体：广州国测规划信息技术有限公司)，其中：广州国测规划信息技术有限公司(以下简称广州国测)为梅雁吉祥的控股子公司，广州国测于2022年9月向贺州楷铭提交了可研报告、土地清查报告及广州国测委外完成的土壤检测报告等服务成果，该等服务主要系以外协的方式进行，我们发现，广州国测在钟山土地整治项目中标前并无对应外协供应商服务费用的确认，由于审计范围受限无法实施替代审计程序，以对外协费用的完整性获取充分适当的审计证据。因此，我们无法确定是否有必要对成本费用以及财务报表其他项目作出调整，也无法确定应调整的金额。
我们按照中国注册会计师审计准则的规定执行了审计工作。审计报告的“注册会计师对财务报表审计的责任”部分进一步阐述了我们在这些准则下的责任。按照中国注册会计师职业道德守则，我们独立于梅雁吉祥，并履行了职业道德方面的其他责任。我们相信，我们获取的审计证据是充分、适当的，为发表审计意见提供了基础。;广东能润资产管理有限公司(第一大股东)持股比例为7.14%。"
600011.SH,华能国际,84,短期负债风险;财报亏损,2,截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;最新年报20221231净利润：-73.87亿
002400.SZ,省广集团,90,高应收款隐忧;研发费用减少,2,"截止20230630,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止2023-06-30,公司研发费用相比上年同期减少77.87%"
