股票代码,股票简称,风险评分,风险项,风险项数量,风险详情
688190.SH,云路股份,95.0,股东户数偏少,1.0,截至20220930，该公司股东户数<4000
832876.BJ,慧为智能,90.0,长时间停牌;市值偏小,2.0,"于2022-06-13，Jun 13 2022  9:30AM单次停牌时长超过两个月;截至20230313,该公司A股总市值低于12亿(北证低于5亿)"
688622.SH,禾信仪器,90.0,业绩公告预警;业绩变脸风险;财报亏损,3.0,预计公司2022年01-12月归属于母公司所有者的净利润为-6400万元至-5400万元，与上年同期相比变动幅度为-181.45%至-168.72%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20221231净利润：-5781.61万
600794.SH,保税科技,92.0,诉讼风险,1.0,截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次
000422.SZ,湖北宜化,100.0,,,
605488.SH,福莱新材,100.0,,,
603323.SH,苏农银行,95.0,股权分散,1.0,亨通集团有限公司(第一大股东)持股比例为6.93%。
300386.SZ,飞天诚信,90.0,业绩公告预警;业绩变脸风险;财报亏损,3.0,预计公司2022年01-12月归属于上市公司股东的净利润为-12500万元至-11000万元，与上年同期相比变动幅度为-155.77%至-125.08%。;截止2023-01-20，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-4706.30万
002113.SZ,ST天润,-24.0,财报亏损;诉讼风险;被频繁问询监管;股票频繁更名;审计报告保留意见;交易所公开谴责;公司被立案调查;市场禁入;ST股票,9.0,"最新季度20220930净利润：-5840.05万;截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次;截止至2023-03-14，公司近一年内问询监管次数大于3次;截止目前，该公司历史更名次数达4次及以上;1、如财务报表附注五（十一）和附注十四（五）所述，天润数娱无形资产期末账面价值中包含金润铂宫房产租赁合同收益权（以下简称铂宫收益权）17,575万元和广州天马国际时装批发中心大厦第八层62.66%的租赁合同权益（以下简称天马合同权益）6,786万元，合计24,361万元。
铂宫收益权系天润数娱2018年从广州市头牌商贸有限公司（以下简称头牌商贸）购买，该部分房产的产权属于广东恒润华创实业发展有限公司及其关联方广州名盛置业发展有限公司（以下简称名盛置业），已经被抵押；头牌商贸承诺补足天润数娱未能按136.9万元/月的标准足额收取租金的差额部分。天润数娱未能和租户直接签订租赁合同，该部分房产出租的租金一直由名盛置业代收；头牌商贸向天润数娱支付了部分租赁款，未完全履行租赁费差额补足的承诺。截止2021年12月31日，头牌商贸欠天润数娱租赁费1,613.40万元，铂宫收益权减值准备余额为2,250万元。
天马合同权益系天润数娱2021年从梁碧群购买，该部分房产产权属于广州天马发展有限公司，已经被法院查封。截止2021年12月31日，该部分房产尚在装修改造中，暂无法自用或对外租赁。
我们无法获取充分、适当的审计证据以判断头牌商贸何时能够支付所欠租金、是否有能力履行保底承诺，无法判断铂宫收益权减值准备的准确性。同时，我们无法获取充分、适当的审计证据以判断天马合同权益是否产生减值以及需要计提减值准备的金额。
2、截止2021年12月31日，天润数娱的控股子公司广州邀邀林健康科技有限公司（以下简称广州邀邀林）其他应收款中有三家单位欠款合计2,930万元，其中：广东绿康源美环境科技有限公司1,430万元，广州翘楚商贸有限公司1,000万元，广州乘风破浪实业有限公司500万元。
我们无法获取充分、适当的审计证据以判断上述三家单位欠款的性质和可收回性，无法判断上述欠款坏账准备计提的准确性。
我们按照中国注册会计师审计准则的规定执行了审计工作。审计报告的“注册会计师对财务报表审计的责任”部分进一步阐述了我们在这些准则下的责任。按照中国注册会计师职业道德守则，我们独立于天润数娱，并履行了职业道德方面的其他责任。我们相信，我们获取的审计证据是充分、适当的，为发表保留意见提供了基础。;于2022-10-24公布关于对湖南天润数字娱乐文化传媒股份有限公司及相关当事人给予纪律处分的决定TXT:http://reportdocs.static.szse.cn/UpFiles/cfwj/2022-10-25_002113101484.pdf;截止至20220923,湖南天润数字娱乐文化传媒股份有限公司（以下简称“ST天润”或“公司”）于2022年9月23日收到中国证券监督管理委员会（以下简称“证监会”）对公司实际控制人赖淦锋先生的《立案告知书》（编号：证监立案字0132022006号），正文内容如下：“因你涉嫌信息披露违法违规，根据《中华人民共和国证券法》《中华人民共和国行政处罚法》等法律法规，我会决定对你立案。”;公司股东或其他关联人员被市场禁入;"
000788.SZ,北大医药,70.0,应收账款占收入比例过高;股权冻结;已大比例减持,3.0,"截止至2022-09-30,该公司营业收入大于5亿,应收账款占收入比例为81.34%;2023-03-14,北大医药：关于持股5%以上股东部分股份被冻结的公告;截止至20221118，该公司重要股东近半年已减持的股份占总股本的比例为：12.98%"
605166.SH,聚合顺,100.0,,,
000616.SZ,ST海投,-12.0,流动性风险;业绩公告预警;业绩变脸风险;诉讼风险;被频繁问询监管;审计报告保留意见;交易所公开谴责;交易所监管;行政监管措施或处罚;ST股票,10.0,"截止至2022-09-30，流动比率小于1，速动比率小于0.5;预计公司2022年01-12月归属于上市公司股东的净利润为-52566.81万元至-35044.54万元，与上年同期相比变动幅度为-1264.69%至-876.46%。;截止2023-03-02，三季报显示公司盈利，但预告今年业绩或将亏损;截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次;截止至2023-03-14，公司近一年内问询监管次数大于3次;我们按照中国注册会计师审计准则的规定执行了审计工作。审计报告的“注册会计师对财务报表审计的责任”部分进一步阐述了我们在这些准则下的责任。按照中国注册会计师职业道德守则，我们独立于海航投资公司，并履行了职业道德方面的其他责任。我们相信，我们获取的审计证据是充分、适当的，为发表审计意见提供了基础。
（一）如财务报表附注十一、关联方交易之（五）4关联担保情况所述，截至2021年12月31日，海航投资公司为关联方提供的担保本金余额为148,410.54万元，截至财务报表报出日，担保责任尚未解除。这些为关联方提供的担保，未履行董事会、股东大会等相应审批程序，其中，为海航物流集团有限公司146,400.00万元借款提供的担保，相关诉讼尚未判决，海航投资公司无法预计担保事项产生的财务影响。我们亦无法实施有效的审计程序，以获取充分、适当的审计证据确定为关联方提供担保对公司财务报表的影响。
（二）如财务报表附注六之注释7所述，截止2021年12月31日，对大连众城文化产业发展合伙企业（有限合伙）（以下简称“大连众城”）的长期股权投资账面价值为99,985.30万元，由于海航投资公司未能提供大连众城的审计报告、评估报告等相关资料，导致我们无法实施必要的审计程序，无法获取充分、适当的审计证据。因此，我们无法确定该项股权投资的账面价值，以及是否发生减值，亦无法确定是否有必要对资产减值损失、投资收益及财务报表的其他项目作出调整，也无法确定应调整的金额。
（三）海航投资公司于2021年12月16日收到了中国证券监督管理委员会（以下简称“中国证监会”）《立案告知书》（证监立案字0212021001号），因涉嫌信息披露违法违规，根据《中华人民共和国证券法》、《中华人民共和国行政处罚法》等法律法规，中国证监会决定对海航投资公司立案。截至本报告批准报出日止，由于立案调查尚未有最终结论，我们无法判断立案调查结果对公司财务报表可能产生的影响。;于2023-02-20公布关于对海航投资集团股份有限公司及相关当事人给予公开谴责处分的决定TXT:http://reportdocs.static.szse.cn/UpFiles/cfwj/2023-02-20_000616101712.pdf;关于对海航投资集团股份有限公司的监管函TXT:http://reportdocs.static.szse.cn/UpFiles/jgsy/gkxx_jgsy_000616177588.pdf;ST海投：关于收到中国证券监督管理委员会《行政处罚事决定书》的公告TXT:http://static.cninfo.com.cn/finalpage/2022-12-30/1215485631.PDF;"
002982.SZ,湘佳股份,100.0,,,
002532.SZ,天山铝业,100.0,,,
300572.SZ,安车检测,90.0,业绩公告预警;业绩变脸风险,2.0,预计公司2022年01-12月归属于上市公司股东的净利润为-3200万元至-1800万元，与上年同期相比变动幅度为-412.01%至-275.51%。;截止2023-01-20，三季报显示公司盈利，但预告今年业绩或将亏损
603606.SH,东方电缆,100.0,,,
688516.SH,奥特维,100.0,,,
002991.SZ,甘源食品,100.0,,,
301206.SZ,三元生物,60.0,营收陡降风险;净利润陡降风险;业绩公告预警;分析师评级下调;大宗交易折价,5.0,截止20220930，公司营业收入相比去年同期降幅超过50%;截止20220930，公司扣非净利润相比去年同期降幅超过50%;预计公司2022年01-12月归属于上市公司股东的净利润为15800万元至18200万元，与上年同期相比变动幅度为-70.49%至-66.01%。;由于公司主营产品赤藓糖醇销量和盈利下降，我们下调2022/23年盈利预测17.5%/36.6%至1.87亿元/2.38亿元。当前股价对应2022/23年37.9/29.8x市盈率。由于盈利预测下调及赤藓糖醇竞争格局变差导致价格和盈利承压，我们下调公司评级至中性，下调目标价11.1%至40元，对应2022/23年43/34x市盈率，对应14%的上行空间。;最近5个交易日内，大宗交易金额超过2000万且折价率达20%
603313.SH,梦百合,84.0,市盈率过高;短期负债风险,2.0,该公司最新财报显示净利润为正，但TTM市盈率超过300;截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3
002789.SZ,建艺集团,42.0,扣非亏损;应收账款占收入比例过高;负债率逐年递增;短期负债风险;高负债率;诉讼风险;被频繁问询监管;交易所监管;清仓式减持,9.0,"该公司最新财报显示净利润为正，但扣非净利润为负;截止至2022-09-30,该公司营业收入大于5亿,应收账款占收入比例为153.78%;截止20211231，资产负债率逐年递增10%以上且最近年度高于70%;截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止20220930,公司负债率为96.171%;截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次;截止至2023-03-14，公司近一年内问询监管次数大于3次;关于对深圳市建艺装饰集团股份有限公司的监管函TXT:http://reportdocs.static.szse.cn/UpFiles/jgsy/gkxx_jgsy_002789177537.pdf;股东TXT:    持公司股份160.8027万股（占公司总股本比例1.01%）的股东阎永平先生计划在2022年5月12日至2022年11月11日以集中竞价方式、大宗交易方式减持公司股份不超过160.80万股（占公司总股本比例1.01%）。"
002966.SZ,苏州银行,95.0,股权分散,1.0,苏州国际发展集团有限公司(第一大股东)持股比例为9%。
002228.SZ,合兴包装,95.0,高应收款隐忧,1.0,"截止20220930,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上"
600566.SH,济川药业,89.0,货币资产充足仍举债;三费占营收比例高,2.0,"截止20220930,公司货币资产为30.80亿元,流动负债合计为29.58亿元;截止20211231，三大费用占营业收入50%以上，且较去年同期增长20%以上"
301186.SZ,超达装备,100.0,,,
002654.SZ,万润科技,82.0,财报亏损;诉讼风险,2.0,最新季度20220930净利润：-5709.54万;截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次
300183.SZ,东软载波,94.0,存货同比大幅增加,1.0,截止至20220930，该公司存货超过2亿且超过本期收入的1/3，存货相对去年同比增幅大于100%
600163.SH,中闽能源,67.0,应收账款占收入比例过高;最大客户占营收比过高;长期不分红;清仓式减持,4.0,"截止至2022-09-30,该公司营业收入大于5亿,应收账款占收入比例为182.36%;根据该公司20211231的数据：第一大客户占公司全部营业收入比例90.93%;久不分红，公司最近一次现金分红为2002-12-31财报：10股派2元(含税);控股股东的一致行动人TXT:    股东持股的基本情况
    截至本公告披露日，中闽能源股份有限公司（以下简称“公司”）股东福建华兴创业投资有限公司（以下简称“华兴创投”）持有公司股份18641243股，占公司总股本的0.98%；福建华兴新兴创业投资有限公司（以下简称“华兴新兴”）持有公司股份5325381股，占公司总股本的0.28%。上述股份来源于公司2015年重大资产重组及发行股份购买资产并募集配套资金事项公司非公开发行股份购买资产取得。
    减持计划的主要内容
    华兴创投因自身资金需求，计划通过集中竞价交易和大宗交易方式减持其持有的公司股份不超过18641243股；华兴新兴因自身资金需求，计划通过集中竞价交易和大宗交易方式减持其持有的公司股份不超过5325381股。
    华兴创投、华兴新兴通过集中竞价交易方式进行减持的，减持期间为本减持计划公告披露之日起15个交易日之后的6个月内（2023/2/15～2023/8/14），且任意连续90日内减持股份的总数不超过公司股份总数的1%；通过大宗交易方式进行减持的，减持期间为本减持计划公告披露之日起3个交易日之后的6个月内，且任意连续90日内减持股份的总数不超过公司股份总数的2%。若计划减持期间有送股、资本公积金转增股本等股份变动事项，上述股份数量做相应调整。"
300137.SZ,先河环保,70.0,扣非亏损;应收账款占收入比例过高;业绩公告预警;业绩变脸风险;股权冻结,5.0,"该公司最新财报显示净利润为正，但扣非净利润为负;截止至2022-09-30,该公司营业收入大于5亿,应收账款占收入比例为129.89%;预计公司2022年01-12月归属于上市公司股东的净利润为-13800万元至-9200万元，与上年同期相比变动幅度为-293.78%至-229.19%。;截止2023-01-30，三季报显示公司盈利，但预告今年业绩或将亏损;2022-10-14,先河环保：关于公司股东部分股份被冻结的补充公告"
002114.SZ,罗平锌电,61.0,流动性风险;业绩公告预警;业绩变脸风险;财报亏损;诉讼风险;交易所公开谴责;长期不分红,7.0,截止至2022-09-30，流动比率小于1，速动比率小于0.5;预计公司2022年01-12月归属于上市公司股东的净利润为-23500万元至-20000万元，与上年同期相比变动幅度为-868.61%至-754.14%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-1.19亿;截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次;于2022-03-15公布关于对陈亚发给予公开谴责处分的决定TXT:http://reportdocs.static.szse.cn/UpFiles/cfwj/2022-03-16_002114101444.pdf;久不分红，公司最近一次现金分红为2007-12-31财报：10转增8股派3.5元（含税）
600995.SH,南网储能,90.0,大比例解禁,1.0,"南网储能非公开发行限售,在三个月内解禁63057.52万股，解禁比例19.73%>8%"
603131.SH,上海沪工,85.0,业绩公告预警;业绩变脸风险;交易所监管,3.0,预计公司2022年01-12月归属于上市公司股东的净利润为-13000万元至-10000万元，与上年同期相比变动幅度为-190.12%至-169.32%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;关于上海沪工焊接集团股份有限公司股东大会决议事项的监管工作函TXT:http://www.sse.com.cn/disclosure/credibility/supervision/measures/other/c/6031312023011788133679.doc
002563.SZ,森马服饰,80.0,净利润陡降风险;业绩公告预警,2.0,截止20220930，公司扣非净利润相比去年同期降幅超过50%;预计公司2022年01-12月归属于上市公司股东的净利润为60000万元至70000万元，与上年同期相比变动幅度为-59.64%至-52.91%。
600310.SH,桂东电力,59.0,业绩公告预警;业绩变脸风险;财报亏损;诉讼风险;交易所公开谴责;公司被立案调查,6.0,预计公司2022年01-12月归属于上市公司股东的净利润为-25000万元至-20000万元，与上年同期相比变动幅度为-417.51%至-354.01%。;截止2023-01-21，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-1.39亿;截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次;于2023-02-20公布关于对广西桂东电力股份有限公司及有关责任人予以公开谴责的决定TXT:http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/4009db99-1617-4280-b9ac-c565263bb57e.pdf;信披违法违规
300920.SZ,润阳科技,75.0,净利润陡降风险;业绩公告预警;交易所监管,3.0,截止20220930，公司扣非净利润相比去年同期降幅超过50%;预计公司2022年01-12月归属于上市公司股东的净利润为2921万元至3794万元，与上年同期相比变动幅度为-67.57%至-57.88%。;关于对宁波梅山保税港区安扬投资管理合伙企业（有限合伙）的监管函TXT:http://reportdocs.static.szse.cn/UpFiles/jgsy/gkxx_jgsy_30092051039.pdf
300606.SZ,金太阳,90.0,业绩公告预警,1.0,预计公司2022年01-12月归属于上市公司股东的净利润为2150万元至3050万元，与上年同期相比变动幅度为-68.15%至-54.81%。
688108.SH,赛诺医疗,75.0,业绩公告预警;业绩变脸风险;财报亏损;清仓式减持;已大比例减持,5.0,"预计公司2022年01-12月归属于上市公司股东的净利润为-15943万元，与上年同期相比变动幅度为-21.92%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20221231净利润：-1.62亿;股东TXT:    截至本公告披露日，公司股东Great Noble Investment Limited（以下简称“Great Noble”）持有公司股份8589378股，占公司总股本的2.10%。上述股份来源为公司IPO前取得股份，且已于2020年10月30日解除限售并上市流通。
    减持计划的主要内容
    因自身发展资金需要，公司股东Great Noble Investment Limited拟在本减持计划披露的减持期间内，通过集中竞价和大宗交易方式减持合计不超过8589378股的公司股份，减持股份占公司总股本的比例不超过2.10%。其中，在2022年8月11日至2022年11月8日通过集中竞价减持不超过4100000股，即不超过公司总股本的1%，且任意连续90日内减持总数不超过公司股份总数的1%；在2022年7月26日至2022年10月23日通过大宗交易减持不超过8200000股，即不超过公司总股本的2%，且任意连续90日内减持总数不超过公司股份总数的2%。;截止至20230206，该公司重要股东近半年已减持的股份占总股本的比例为：5.33%"
603069.SH,海汽集团,75.0,财报亏损;清仓式减持,2.0,"最新季度20220930净利润：-9801.84万;股东TXT:    股东持股的基本情况：截止本减持计划公告之日，海南省农垦投资控股集团有限公司（以下简称“海南农垦”）持有海南海汽运输集团股份有限公司（以下简称“公司”）股份2427000股，占公司总股本的0.768%，股份来源为公司首次公开发行前取得的股份及二级市场增持取得的股份。
    减持计划的主要内容：自本减持计划公告之日起15个交易日后的6个月内（2022/9/19～2023/3/18），海南农垦拟通过集中竞价或大宗交易方式减持本公司股份2427000股，占公司总股本的0.768%（若此期间有送股、资本公积转增股本等股本变动事项，上述数量进行相应调整），通过集中竞价交易方式进行减持的，在任意连续90日内减持股份的总数不超过公司股本总数的1%；通过大宗交易方式减持的，在任意连续90日内不超过公司股本总数的2%。减持价格将按照减持时市场价格确定，但不低于本公司首次公开发行股份时的发行价。"
600886.SH,国投电力,100.0,,,
603983.SH,丸美股份,100.0,,,
002311.SZ,海大集团,100.0,,,
603699.SH,纽威股份,100.0,,,
000983.SZ,山西焦煤,100.0,,,
300922.SZ,天秦装备,65.0,净利润陡降风险;业绩公告预警;清仓式减持,3.0,"截止20220930，公司扣非净利润相比去年同期降幅超过50%;预计公司2022年01-12月归属于上市公司股东的净利润为2300万元至3200万元，与上年同期相比变动幅度为-71.49%至-60.33%。;股东及其一致行动人TXT:    持有本公司股份5972401股（占本公司总股本比例3.8087%）的股东珠海汉虎纳兰德股权投资基金合伙企业（有限合伙）（以下简称“珠海汉虎”）及其一致行动人共青城汉虎壹号投资管理合伙企业（有限合伙）（以下简称“共青城汉虎”）计划以集中竞价交易或大宗交易方式减持本公司股份合计不超过5972401股（占本公司总股本比例3.8087%）。其中通过集中竞价交易方式减持的，自本公告披露之日起十五个交易日后的六个月内进行；通过大宗交易方式减持的，自本公告披露之日起三个交易日后的六个月内进行（法律法规、规范性文件规定不得减持的时间除外）。若计划减持期间出现送股、资本公积金转增股本、配股等除权除息事项，减持股份数量将相应进行调整。
    上述股东如采取集中竞价交易方式减持的，在任意连续90个自然日内减持股份总数不超过公司股份总数的1%；如采取大宗交易方式减持的，在任意连续90个自然日内减持股份总数不超过公司总股份的2%。"
002011.SZ,盾安环境,85.0,已大比例减持,1.0,截止至20221110，该公司重要股东近半年已减持的股份占总股本的比例为：9.71%
600683.SH,京投发展,100.0,,,
002841.SZ,视源股份,94.0,货币资产充足仍举债,1.0,"截止20220930,公司货币资产为96.41亿元,流动负债合计为84.27亿元"
300418.SZ,昆仑万维,80.0,市盈率过高;净利润陡降风险,2.0,该公司最新财报显示净利润为正，但TTM市盈率超过300;截止20220930，公司扣非净利润相比去年同期降幅超过50%
600843.SH,上工申贝,95.0,股权分散,1.0,上海浦科飞人投资有限公司(第一大股东)持股比例为8.41%。
601882.SH,海天精工,100.0,,,
002191.SZ,劲嘉股份,77.0,业绩公告预警;高层被立案调查;关联交易风险,3.0,"预计公司2022年01-12月归属于上市公司股东的净利润为20394.87万元至30592.3万元，与上年同期相比变动幅度为-80%至-70%。;截止至20220401,深圳劲嘉集团股份有限公司（以下简称“公司”）董事会于2022年4月14日下午收到公司总经理侯旭东先生通知，其于2022年4月1日签收上犹县监察委员会签发的关于对实际控制人、董事长乔鲁予先生进行立案调查并实施留置的通知书。;业务单一且大量关联方交易(关联交易方占净利润65.50%)"
603681.SH,永冠新材,100.0,,,
600211.SH,西藏药业,89.0,货币资产充足仍举债;三费占营收比例高,2.0,"截止20221231,公司货币资产为11.40亿元,流动负债合计为10.26亿元;截止20221231，三大费用占营业收入50%以上，且较去年同期增长20%以上"
301222.SZ,浙江恒威,100.0,,,
300200.SZ,高盟新材,80.0,高商誉风险,1.0,截止20220930公司商誉占总资产比例为32.95%
002023.SZ,海特高新,85.0,应收账款占收入比例过高;业绩公告预警,2.0,"截止至2022-09-30,该公司营业收入大于5亿,应收账款占收入比例为90.34%;预计公司2022年01-12月归属于上市公司股东的净利润为1250.85万元至1866.66万元，与上年同期相比变动幅度为-98.3%至-97.46%。"
688598.SH,金博股份,100.0,,,
002546.SZ,新联电子,85.0,公允价值收益异常;业绩公告预警,2.0,"截止至20220930,该公司净利润大于1000万，公允价值变动收益和投资收益之和为负且绝对值大于净利润的1/4;预计公司2022年01-12月归属于上市公司股东的净利润为830万元-1200万元，与上年同期相比下降94.62%-96.28%。"
603308.SH,应流股份,94.0,短期负债风险,1.0,截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3
603698.SH,航天工程,94.0,货币资产充足仍举债,1.0,"截止20220930,公司货币资产为16.16亿元,流动负债合计为15.72亿元"
002325.SZ,洪涛股份,71.0,高应收款隐忧;应收账款占收入比例过高;短期负债风险;应收账款坏账风险;业绩公告预警;业绩变脸风险;财报亏损;诉讼风险,8.0,"截止20220930,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止至2022-09-30,该公司营业收入大于5亿,应收账款占收入比例为207.57%;截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止至2022-09-30,该公司应收账款(应收票据)周转天数大于500;预计公司2022年01-12月归属于上市公司股东的净利润为-66000万元至-58300万元，与上年同期相比变动幅度为-199.96%至-164.97%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-2.54亿;截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次"
300084.SZ,海默科技,73.0,高库存隐忧;短期负债风险;应收账款坏账风险;财报亏损,4.0,"截止至2022-09-30，货币资金占总资产不足15%，应收票据与应收款项之和占总资产超20%，存货占总资产超15%且存货周转率低于1.2 或 非房地产公司的存货超总资产的50%;截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止至2022-09-30,该公司应收账款(应收票据)周转天数大于500;最新季度20220930净利润：-4510.84万"
300687.SZ,赛意信息,94.0,"应收款增加,低现金流",1.0,"截止20220930,公司应收账款增速为56.30%，净利润增速为15.32%，经营活动现金流（2368.99万元）小于净利润（15266.44万元）"
603577.SH,汇金通,76.0,净利润陡降风险;短期负债风险;诉讼风险,3.0,截止20220930，公司扣非净利润相比去年同期降幅超过50%;截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次
002001.SZ,新和成,100.0,,,
603716.SH,塞力医疗,74.0,应收账款占收入比例过高;短期负债风险;业绩公告预警;业绩变脸风险;财报亏损;被频繁问询监管,6.0,"截止至2022-09-30,该公司营业收入大于5亿,应收账款占收入比例为101.86%;截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;预计公司2022年01-12月归属于上市公司股东的净利润为-14300万元至-9800万元，与上年同期相比变动幅度为-188.86%至-97.96%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-501.44万;截止至2023-03-14，公司近一年内问询监管次数大于3次"
002740.SZ,ST爱迪尔,-89.0,负债率逐年递增;高库存隐忧;短期负债风险;应收账款坏账风险;流动性风险;业绩公告预警;业绩变脸风险;财报亏损;诉讼风险;被频繁问询监管;审计报告保留意见;定期报告存疑;清仓式减持;股权分散;可能被*ST;ST股票,16.0,"截止20211231，资产负债率逐年递增10%以上且最近年度高于70%;截止至2022-09-30，货币资金占总资产不足15%，应收票据与应收款项之和占总资产超20%，存货占总资产超15%且存货周转率低于1.2 或 非房地产公司的存货超总资产的50%;截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止至2022-09-30,该公司应收账款(应收票据)周转天数大于500;截止至2022-09-30，流动比率小于1，速动比率小于0.5;预计公司2022年01-12月归属于上市公司股东的净利润为-98000万元至-76000万元，与上年同期相比变动幅度为-26.96%至1.54%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-1.84亿;截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次;截止至2023-03-14，公司近一年内问询监管次数大于3次;1、应收账款减值对财务报表的影响2020年度审计报告中爱迪尔公司对部分应收账款采用单项认定方式计提预期信用损失，其中：账面余额15,165.05万元应收账款全额计提坏账准备，我们无法对该部分应收账款的可收回性获取充分、适当的审计证据，因此我们对2020年度的财务报表发表了保留意见。在2021年度公司通过不断催收、取得客户注销、闭店等等不同证据，2020年保留的应收账款事项在2021年可以消除的金额为3,378.89万元；尚有11,786.16万元未能获取充分、适当的审计证据。爱迪尔公司在2021年度对部分应收账款采用单项认定方式计提预期信用损失，其中：账面余额12,918.61万元应收账款在2021年度全额计提坏账准备，结合2020年度保留事项仍未消除的金额，我们无法对这24,704.77万元应收账款的可收回性获取充分、适当的审计证据。2、存货的真实性对财务报表比较数据的影响2021年度审计报告中爱迪尔公司库存商品余额135,901.88万元，其中39,910.97万元全额计提存货跌价准备；由于未能对上述账面余额39,910.97万元的库存商品和存货跌价准备计提获取到充分、适当的审计证据，导致对2020年度财务报表发表保留意见。由于该事项对本期数据和对应数据的可比性存在影响或可能存在影响，我们对本期财务报表发表了保留意见。3、子公司丧失控制权子公司对财务报表比较数据的影响2020年大盘珠宝因拒绝配合整改，拒不交接公章、证照、账册等资料，从而导致公司无法参与大盘珠宝日后的经营管理。故公司已对控股子公司大盘珠宝的管理失去有效控制，拟采取各种措施维护公司利益。公司管理层认为在丧失控制权之日的公允价值与账面价值之间的差额计入当期损益。因此在2020年合并报表中确认股权投资损益-16,724.61万元，导致对2020年度财务报表发表保留意见。由于该事项对本期数据和对应数据的可比性存在影响或可能存在影响，我们对本期财务报表发表了保留意见。;爱迪尔：关于部分董事、监事对本次董事会、监事会审议的相关议案存在异议的专项说明;持股5%以上股东及其一致行动人TXT:    1、本次拟拍卖标的为福建省爱迪尔珠宝实业股份有限公司（以下简称“公司”）持股5%以上股东苏日明及其一致行动人狄爱玲合计持有公司股份中的51086831股股份（其中苏日明45938741股，狄爱玲5148090股）。目前该拍卖事项尚处于公示阶段，拍卖结果尚存在不确定性。敬请广大投资者谨慎投资，注意投资风险。
    2、苏日明及其一致行动人狄爱玲正在就上述拍卖事项与上海金融法院、爱建证券有限责任公司等相关方积极磋商中。
    3、截至本公告日，苏日明及其一致行动人狄爱玲、苏永明、苏清香所持公司股份（共65088659股，占公司总股本比例14.3348%）均已全部被司法冻结及司法轮候冻结。敬请广大投资者谨慎投资，注意投资风险。公司于2022年6月28日收到持股5%以上股东苏日明的告知函，获悉其所持公司股份中的15921259股股份（占公司总股本3.5064%）已于2022年6月22日在淘宝网司法拍卖平台（http://sf.taobao.com）完成了公开拍卖，经核实截至目前已完成股份过户手续。
    除此外，苏日明与其一致行动人狄爱玲二者合计持有公司股份中的51086831股股份（其中苏日明45938741股，狄爱玲5148090股）占公司总股本比例11.2511%将于2022年7月19日10时至2022年7月20日10时止（延时除外）在淘宝网司法拍卖平台（http://sf.taobao.com/）进行公开拍卖。;李勇(第一大股东)持股比例为8.38%。;;"
300592.SZ,华凯易佰,87.0,诉讼风险;被频繁问询监管,2.0,截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次;截止至2023-03-14，公司近一年内问询监管次数大于3次
002674.SZ,兴业科技,100.0,,,
300945.SZ,曼卡龙,94.0,高库存隐忧,1.0,截止至2022-09-30，货币资金占总资产不足15%，应收票据与应收款项之和占总资产超20%，存货占总资产超15%且存货周转率低于1.2 或 非房地产公司的存货超总资产的50%
603583.SH,捷昌驱动,94.0,货币资产充足仍举债,1.0,"截止20220930,公司货币资产为24.13亿元,流动负债合计为21.24亿元"
