证券代码,证券名称,流通市值,总市值,最新价,涨跌幅,所属同花顺行业,三级行业,二级行业,一级行业,主营产品,投资逻辑,公司亮点,所属概念,沪深指数
002148.SZ,北纬科技,26.5,32.8,5.87,-0.34,通信-通信服务-通信服务Ⅲ,通信网络,通信,科技,移动增值业务,国内移动增值业务行业领先企业和手游知名企业,围绕物联网、手机游戏和移动转售三大核心业务的互联网企业,"物联网,手机游戏,抖音,云通信,电子信息,无人机,TMT,动漫,北交所,车联网,芯片",
300823.SZ,建科机械,19.2,19.2,20.52,-0.34,机械设备-专用设备-其他专用设备,工程机械,工程机械,建筑业,钢筋成型机械,专注于中高端数控钢筋加工装备的研产销,专注于中高端数控钢筋加工装备的研产销，国家火炬计划重点高新技术企业,"中俄贸易,工业机器人,核电,基建工程,高铁,一带一路,专精特新,水利,新型城镇化,公路建设,机器人,装配式建筑,雄安新区",
002523.SZ,天桥起重,41.0,41.5,2.93,-0.34,机械设备-专用设备-能源及重型设备,重型机械,机械设备,机械,物料搬运设备,国内起重机制造行业重点骨干企业之一,南方地区最大的桥、门式起重设备和钢铁行业专用起重设备提供商,"军工,核电,国企改革,体育产业,华为,湖南国企改革,冰雪产业,工业4.0,机器人,机械装备,一带一路,风电,地方国企改革,智慧停车",
688021.SH,奥福环保,20.3,20.3,26.28,-0.34,交运设备-汽车零部件-汽车零部件Ⅲ,尾气处理,汽车零部件,汽车,蜂窝陶瓷载体,主营业务是蜂窝陶瓷技术的研发与应用,主营业务是蜂窝陶瓷技术的研发与应用,"专精特新,国四,节能环保,国六标准、国六排放、国六",
833230.BJ,欧康医药,1.7,6.6,8.75,-0.34,医药生物-化学制药-原料药,原料药,生物,生物医药,天然VP类原料药,公司为天然VP原料药领域领先企业,专注于槲皮素、芦丁等植物提取物的国家级专精特新“小巨人”,,
605376.SH,博迁新材,56.1,83.8,32.03,-0.34,有色金属-小金属-能源金属,小金属,有色金属,资源,高端金属粉体材料,全球领先纳米级电子专用高端金属粉体材料企业,中国纳米材料研发与产业化应用的开拓者之一,"新材料,金属镍,负极材料,专精特新,人民币贬值受益,光伏,3D打印,小金属,锂电池",中证1000
832023.BJ,田野股份,5.9,9.5,2.91,-0.34,农林牧渔-农产品加工-果蔬加工,粮食加工,农业,必需消费,原料果汁,专业热带果蔬加工企业，具有较强的渠道优势,中国领先的热带原料果汁加工企业，芒果浆产品市占率行业居前,,
000503.SZ,国新健康,104.6,105.5,11.64,-0.34,计算机-计算机应用-软件开发,医疗软件,计算机,科技,医药电子商务,以医保综合管理服务为主的健康保障服务国有企业,以医保综合管理服务为主的健康保障服务国有企业,"健康中国,三沙,互联网医疗,国企改革,养老,TMT,华为,医保目录,智能医疗,数字经济,家庭医生,电子商务,DRG/DIP,海南自贸区,央企国企改革,地方国企改革",中证1000
002670.SZ,国盛金控,140.3,167.2,8.64,-0.35,非银金融-证券-证券Ⅲ,证券,非银金融,金融,证券业务,国内大型综合金融投资控股集团,江西省交通运输厅旗下，主要通过全资子公司国盛证券开展业务,"区块链,消费金融,国企改革,地方国企改革",中证500
000631.SZ,顺发恒业,69.6,69.6,2.86,-0.35,综合-综合-综合Ⅲ,园区开发,房地产,金融,地产、物业、风电、食堂餐饮,聚焦长三角地区的房地产开发公司,业务集中于长三角地区的房地产公司,"物业管理,债转股(AMC),证金持股,风电",
600707.SH,彩虹股份,204.5,204.5,5.7,-0.35,电子-光学光电子-面板,玻璃,建筑材料,建筑业,液晶面板、液晶玻璃基板,液晶玻璃基板行业龙头企业、面板行业领先企业,国内领先的液晶基板玻璃、液晶面板制造商,"新材料,触摸屏,柔性屏,陕西自贸区,西咸新区,国企改革,OLED,全息手机,地方国企改革",中证500
001872.SZ,招商港口,298.0,427.3,17.1,-0.35,交通运输-港口航运-港口,港口,水运,交通运输,港口装卸,占深圳港集装箱码头业务市场份额的27.2%。,占深圳港集装箱码头业务市场份额的27.2%。,"粤港澳大湾区,国企改革,一带一路,航运港口,央企国企改革,同花顺中特估100,地方国企改革",中证500
300491.SZ,通合科技,44.0,49.6,28.48,-0.35,电力设备-电力设备-其他电源设备,电源设备,电气设备,电力设备,电源,公司电源产品在国产化方面处于行业领先水平。,在电力操作电源领域拥有优势地位,"军工,智能电网,充电桩,换电,新能源汽车,电动汽车,高压快充,雄安新区,汽车电子",
600019.SH,宝钢股份,1243.7,1266.7,5.69,-0.35,黑色金属-钢铁-普钢,普钢,钢铁,资源,碳钢板卷,我国最大、最现代化的钢铁联合企业，世界级钢铁厂商,我国最大、最现代化的钢铁联合企业，世界级钢铁联合企业,"特斯拉,核电,MSCI,稀缺煤,国企改革,同花顺漂亮100,铌,西气东输,证金持股,石墨电极,互联网钢铁,一带一路,央企国企改革,同花顺中特估100,地方国企改革",沪深300
300610.SZ,晨化股份,18.3,24.2,11.35,-0.35,基础化工-化学制品-其他化学制品,化学制品,基础化工,化工,表面活性剂,华东最具影响力的表面活性剂、阻燃剂和硅橡胶生产地,公司是江苏省高固含水性聚氨酯树脂工程技术研究中心,"专精特新,新材料,磷化工,环氧树脂,有机硅",
000836.SZ,富通信息,34.2,34.2,2.83,-0.35,通信-通信设备-通信线缆及配套,光缆,通信,科技,光纤光缆,公司光纤产能全国前五,国内主要的光纤预制棒、光纤和光缆专业供应商,"滨海新区,光纤光缆,光纤,激光,环渤海,TMT,5G,光伏",
002227.SZ,奥特迅,35.0,35.0,14.14,-0.35,电力设备-电力设备-其他电源设备,电源设备,电气设备,电力设备,电源,中国电力自动化电源行业龙头企业,中国电力自动化电源行业龙头企业,"储能,核电,新基建,柔性直流输电,比亚迪,充电桩,特高压,换电,电动汽车,高压快充,虚拟电厂",
300674.SZ,宇信科技,118.9,120.1,16.9,-0.35,计算机-计算机应用-IT服务,金融科技,计算机,科技,金融软件开发,国内领先的银行IT解决方案提供商,国内银行业IT解决方案市场中的领军者,"蚂蚁金服,区块链,跨境支付（CIPS）,MLOps,数据中心,腾讯,华为,信创,鸿蒙,国产软件,大数据,虚拟数字人,金融科技,互联网金融,百度,华为鲲鹏,数据要素,ChatGPT,数字货币,华为欧拉,云计算,人工智能","创业300,中证1000"
603939.SH,益丰药房,368.3,369.9,36.61,-0.35,医药生物-医药商业-医药商业Ⅲ,医药商业,医疗服务,生物医药,医药零售,聚焦华中、华南、华东区域的药品零售连锁企业,聚焦华中、华南、华东区域的药品零售连锁企业,"MSCI,家庭医生,互联网医疗,医药电商",中证500
600733.SH,北汽蓝谷,220.3,313.8,5.63,-0.35,交运设备-汽车整车-乘用车,乘用车,汽车整车,汽车,电动乘用车,知名的新能源汽车与核心零部件企业,知名的新能源汽车与核心零部件企业,"新能源整车,MSCI,动力电池回收,北京国企改革,国企改革,燃料电池,华为,汽车芯片,无人驾驶,一体化压铸,百度,换电,北汽新能源,新能源汽车,固态电池,华为汽车,地方国企改革",
601212.SH,白银有色,208.1,208.1,2.81,-0.35,有色金属-工业金属-铜,铜,有色金属,资源,铜等有色金属,铜、铅、锌、金、银多金属综合发展，全产业链巨头,具备铜、铅、锌、金、银多品种有色金属综合发展的独特优势,"黄金,金属锌,钼,中非合作,铜冶炼,金属铜,白银,金属铅,小金属,锂电池",中证1000
300656.SZ,民德电子,39.1,53.2,30.81,-0.36,电子-其他电子-其他电子Ⅲ,计算机设备,计算机,科技,手持式条码扫描器,手持式条码扫描器行业龙头企业之一,自主研发基于激光扫描和影像扫描技术微型扫描引擎的民族企业,"二维码识别,储能,智能终端,智能汽车,电子身份证,无人零售,芯片,芯片设计,无人驾驶,碳化硅,比亚迪,大疆创新,第三代半导体,图像识别,无人机,氮化镓,集成电路",
002156.SZ,通富微电,338.3,338.4,22.36,-0.36,电子-半导体及元件-集成电路封测,封测,半导体,科技,芯片封装测试,芯片封装测试龙头企业之一,国内规模最大、产品品种最多的集成电路封装测试企业之一,"物联网,特斯拉,智能穿戴,MSCI,传感器,国家大基金持股,GPU,先进封装（Chiplet）,芯片,换芯,芯片封装测试,第三代半导体,移动支付,人民币贬值受益,华为海思,集成电路,毫米波雷达",中证500
300410.SZ,正业科技,30.8,30.8,8.38,-0.36,电力设备-电力设备-电池,电池检测,储能,电力设备,锂电检测自动化,公司锂电X光检测设备占有国内市场份额达70%以上,面向PCB、锂电、液晶面板行业提供智能检测和智能制造解决方案,"储能,新材料,覆铜板,锂电设备,宁德时代,芯片设备,国企改革,先进封装（Chiplet）,食品安全,芯片,华为,OLED,工业4.0,高端装备,比亚迪,HJT电池,苹果,粤港澳大湾区,新能源汽车,固态电池,激光,光伏,口罩,5G,节能照明,地方国企改革,锂电池",
001209.SZ,洪兴股份,6.7,22.0,16.75,-0.36,纺织服装-服装家纺-服装,服装,纺织,可选消费,家居服饰,家居服饰产品设计、生产、销售的行业龙头企业之一,国内较早专业从事家居服饰产品设计、生产、销售的行业龙头企业之一,"IP,跨境电商,数字经济,电子商务,三胎,粤港澳大湾区,网络直播",
002596.SZ,海南瑞泽,29.5,32.0,2.79,-0.36,建筑材料-建筑材料-水泥,水泥,建筑材料,建筑业,商品混凝土,海南省内竞争力领先的商品混凝土企业,商品混凝土业务在海南省有较高市占率，兼营水泥和市政环卫,"美丽中国,垃圾分类,水利,特色小镇,固废处理,PPP,土地增值,海南自贸区,一带一路,自由贸易港,新型城镇化,园林开发,三沙,装配式建筑,雄安新区",
000541.SZ,佛山照明,59.0,76.0,5.58,-0.36,电子-光学光电子-LED,照明设备,消费电子,科技,节能照明产品,国内照明行业的龙头企业,知名的LED照明和传统照明灯具制造商,"绿色消费,国企改革,华为,智慧灯杆,证金持股,广东国企改革,智能家居,网络直播,节能照明,地方国企改革",
600415.SH,小商品城,456.2,458.6,8.36,-0.36,商贸零售-零售-商业物业经营,商城,零售,可选消费,商品销售,全球最大的小商品集散地,义乌国资委旗下，全球最大的小商品集散地，拥有支付牌照,"健康中国,MSCI,网红经济,跨境支付（CIPS）,国企改革,互联网银行,物流电商平台,数据中心,同花顺中特估100,中俄贸易,阿里巴巴,统一大市场,双十一,金改,消费金融,电子商务,一带一路,跨境电商,室外经济,地方国企改革,共同富裕示范区",中证500
603637.SH,镇海股份,20.3,20.3,8.35,-0.36,建筑装饰-建筑装饰-专业工程,石化建设,基建,建筑业,工程总承包,炼化工程行业细分龙头，多次获得国家级工程类奖项,石油化工工程的建设和技术服务，多次获得国家级工程类奖项,"油品升级,氢能源,国企改革,尾气治理,碳中和,节能环保,地方国企改革",
001368.SZ,通达创智,7.0,27.9,24.91,-0.36,轻工制造-家用轻工-文娱用品,体育,社会服务,可选消费,体育用品、户外休闲用品,迪卡侬、Wagner、YETI的重点供应商,主营育户外、家居生活等，外销为主,"外贸受益,中俄贸易,人工智能,医疗器械,人民币贬值受益,福建自贸区,体育产业,三胎,工业4.0",
300837.SZ,浙矿股份,27.3,38.7,38.74,-0.36,机械设备-专用设备-能源及重型设备,煤矿设备,机械设备,机械,矿山资源破碎筛选成套设备,国内技术领先的中高端矿机装备供应商之一,国内技术领先的中高端矿机装备供应商之一,"共同富裕示范区,基建工程,动力电池回收",
000532.SZ,华金资本,38.0,38.1,11.06,-0.36,非银金融-保险及其他-多元金融,资产管理,非银金融,金融,投资与管理,构建了“创投+实业”双轮驱动的产业新格局,构建了“创投+实业”双轮驱动的产业新格局,"石墨烯,横琴新区,元器件,国企改革,污水处理,独角兽,珠海国企改革,广东国企改革,IPV6,粤港澳大湾区,口罩,澳交所,地方国企改革,锂电池",
833454.BJ,同心传动,3.3,5.8,5.52,-0.36,交运设备-汽车零部件-汽车零部件Ⅲ,汽车零部件,汽车零部件,汽车,汽车传动轴,有成熟的传动轴制造技术，生产技术处于国内领先水平,公司拥有成熟的传动轴制造技术，生产技术处于国内领先水平,,
688006.SH,杭可科技,183.2,183.2,30.34,-0.36,电力设备-电力设备-电池,锂电池,储能,电力设备,充放电设备,公司后处理设备覆盖各类型动力电池的主要生产商,锂离子电池生产线后处理系统设计、研发、生产与销售高新技术企业,"MSCI,锂电池",中证500
600660.SH,福耀玻璃,714.5,930.9,35.67,-0.36,交运设备-汽车零部件-汽车零部件Ⅲ,玻璃,建筑材料,建筑业,汽车玻璃,国内最具规模、出口量最大的汽车玻璃生产供应商,全球汽车玻璃行业市占率第一,"特斯拉,太阳能,MSCI,特种玻璃,同花顺漂亮100,央视财经50,证金持股,小鹏汽车,蔚来汽车,光伏,光伏玻璃,恒大,玻璃",沪深300
838227.BJ,美登科技,2.0,7.5,19.19,-0.36,计算机-计算机应用-IT服务,云计算,计算机,科技,电商软件,国内较早从事电商SaaS软件开发的企业,主要为电商商家提供SaaS软件与短信等服务，帮助电商卖家降低营销成本，进行订单管理等,,
300263.SZ,隆华科技,63.5,74.3,8.22,-0.36,机械设备-通用设备-其他通用设备,环保设备,环保,公共事业,半导体材料,复合冷产品行业龙头，工业水处理板块的技术领跑者,构建了新材料和节能环保两大业务板块协同发展的产业格局,"军工,新材料,河南自贸区,OLED材料,动力电池回收,柔性屏,核电,钙钛矿电池,大飞机,国产替代,靶材,噪声防治,污水处理,盐湖提锂,芯片,华为,OLED,PVC,PPP,HJT电池,膜材料,节能环保,风电,超超临界发电","创业300,中证1000"
603061.SH,金海通,16.8,67.4,112.27,-0.36,电子-半导体及元件-半导体设备,设备,半导体,科技,半导体测试设备,国家级专精特新“小巨人”，主营测试分选机,国家级专精特新“小巨人”，主营测试分选机,"专精特新,集成电路,芯片,芯片设备",
600580.SH,卧龙电驱,178.8,179.3,13.67,-0.36,电力设备-电力设备-电机,电机,电气设备,电力设备,工业电机及驱动,国内外一流的电机制造商,全球主要的电机与驱动专业制造商,"军工,特斯拉,储能,核电,安防,工业互联网,光伏建筑一体化,华为,小米,机器人,铅蓄电池,比亚迪,电机电控,北汽新能源,一带一路,新能源汽车,风电",中证500
002573.SZ,清新环境,58.9,78.3,5.46,-0.36,环保-环保-大气治理,废气处理,环保,公共事业,工业烟气治理,工业烟气治理综合环境服务商,工业烟气治理综合环境服务商，拥有领先的脱硫核心技术,"天然气,美丽中国,京津冀一体化,国企改革,污水处理,危废处理,PM2.5,再生水,工业节水,余热发电,四川国企改革,光伏,废气处理,碳中和,节能环保,数字孪生,地方国企改革,脱硫脱硝,雄安新区",中证1000
830799.BJ,艾融软件,9.6,17.2,8.17,-0.37,计算机-计算机应用-软件开发,金融科技,计算机,科技,金融软件,国内领先的银行软件服务商,国内领先的金融IT解决方案供应商,"国产软件,虚拟数字人,金融科技,互联网金融,百度,数字货币,信创,汽车电子",
601788.SH,光大证券,638.4,753.4,16.34,-0.37,非银金融-证券-证券Ⅲ,证券,非银金融,金融,AA级券商,证监会批准的首批三家创新试点公司之一,中国领先且具有强大综合竞争力的证券金融集团,"互联网券商,MSCI,证金持股,国企改革,央企国企改革",沪深300
688307.SH,中润光学,6.4,31.1,35.31,-0.37,计算机-计算机设备-计算机设备Ⅲ,光学镜头,消费电子,科技,光学镜头,国内优质精密光学镜头研发商,数字安防超大倍率变焦镜头市占率全球第一，在超长焦镜头、工业无人机镜头等领域具备突出竞争地位,"无人驾驶,安防,专精特新,无人机,机器视觉",
600529.SH,山东药玻,180.2,180.2,27.15,-0.37,医药生物-医疗器械-医疗耗材,玻璃,建筑材料,建筑业,药用玻璃,药用包装行业龙头，中国最大的医药玻璃专业制造商,国内规模最大的药用玻璃包装企业,"养老金持股,医疗器械,食品包装,国企改革,地方国企改革,疫苗存储,玻璃",中证500
600387.SH,ST海越,21.9,25.4,5.43,-0.37,石油石化-石油加工贸易-油品石化贸易,石油贸易,石油,资源,成品油,大型综合性油品和液体化学品企业,陕西铜川国资委旗下，主营成品油零售及石化业务，是我国华北地区行业内经营资质较为齐备的公司之一,"甲乙酮,海航系,国企改革,液化气,燃料乙醇,丙烷脱氢,钒电池,透明工厂,丙烯,地方国企改革,锂电池",
835368.BJ,连城数控,59.2,113.9,48.8,-0.37,电力设备-电力设备-光伏设备,光伏加工设备,光伏,电力设备,晶体硅生长和加工设备,全球领先的光伏与半导体设备制造商,全球领先的光伏与半导体设备制造商,光伏,
600638.SH,新黄浦,36.5,36.5,5.42,-0.37,房地产-房地产开发-住宅开发,住宅,房地产,金融,上海地产,上海市内最早组建上市的房地产企业之一,北京市政府旗下的房地产公司，核心资产主要集中在上海及周边区域,"物业管理,保障房,上海金改,期货,地方国企改革,国企改革",
300645.SZ,正元智慧,38.0,38.0,27.1,-0.37,计算机-计算机设备-计算机设备Ⅲ,教育软件,社会服务,可选消费,校园信息化,智慧校园服务新生态的引领者,智慧校园服务新生态的引领者,"物联网,蚂蚁金服,区块链,web3.0,职业教育,电子身份证,人力资源服务,疫情监测,元宇宙,华为,边缘计算,国产软件,数字经济,在线教育,移动支付,华为鲲鹏,杭州亚运会,共同富裕示范区,数字货币,数字孪生,云计算,人工智能",
002062.SZ,宏润建设,52.3,59.4,5.39,-0.37,建筑装饰-建筑装饰-基础建设,铁路建设,基建,建筑业,地下盾构施工,境内第一家进行城市轨道交通地下盾构施工的民营企业,国内首家进行城市轨道交通盾构施工的民营企业，拥有较高的资质,"工业机器人,PPP,太阳能,地下管网,轨道交通,水利,光伏,新型城镇化,杭州亚运会,绿色电力,方舱医院,机器人",
603682.SH,锦和商管,25.4,25.4,5.38,-0.37,商贸零售-零售-商业物业经营,商城,零售,可选消费,商业物业,产业园区的商用物业服务运营商,多个项目被认定为“国家文化产业示范基地”,"物业管理,室外经济",
002180.SZ,纳思达,446.8,494.7,34.93,-0.37,计算机-计算机设备-计算机设备Ⅲ,印刷设备,包装印刷,可选消费,打印机,国产打印机龙头,打印机兼容耗材处于全球细分行业的龙头地,"军工,物联网,MSCI,芯片,信创,物联网感知层,汽车芯片,小米,芯片设计,高端装备,MCU芯片,集成电路",沪深300
600299.SH,安迪苏,216.2,216.2,8.06,-0.37,基础化工-化学制品-食品及饲料添加剂,饲料,养殖,必需消费,动物营养添加剂,全球领先的蛋氨酸生产商、动物营养添加剂生产商,研发、生产和销售动物营养添加剂的全球行业领军企业,"证金持股,饲料,维生素,国企改革,人民币贬值受益,央企国企改革,地方国企改革",中证500
600561.SH,江西长运,15.2,15.2,5.35,-0.37,交通运输-公路铁路运输-公交,公交客运,公路,交通运输,道路旅客运输,我国首个以道路运输为主业的上市公司,我国首个以道路运输为主业的上市公司,"鄱阳湖经济区,室外经济,地方国企改革,国企改革",
300641.SZ,正丹股份,26.2,26.2,5.35,-0.37,基础化工-化学制品-其他化学制品,化学制品,基础化工,化工,偏苯三酸酐,特种精细化学品和高端环保新材料领域拥有核心技术产权,在特种精细化学品和高端环保新材料领域拥有核心技术产权,新材料,
002793.SZ,罗欣药业,57.4,58.2,5.35,-0.37,医药生物-化学制药-化学制剂,制药,生物,生物医药,医药产品,中国制药工业百强企业,中国制药工业百强企业、中国十大最具成长力药企,"中医药,创新药,抗肿瘤,幽门螺杆菌,蒙脱石散,互联网医疗,医疗器械,流感,民营医院,生物医药,医药电商,仿制药,仿制药一致性评价",
600419.SH,天润乳业,51.4,51.4,16.04,-0.37,食品饮料-食品加工制造-乳品,乳制品,食品,必需消费,常温乳制品,发酵酸奶为代表的产品创新引领了新疆乳品市场发展,新疆饲草料资源丰富，拥有较好的区位优势以及“天润”等品牌,"养老金持股,乳业,新疆振兴,两会,国企改革,造纸转暖,新疆建设兵团,地方国企改革",
600815.SH,厦工股份,47.4,47.4,2.67,-0.37,机械设备-专用设备-工程机械,工程机械,工程机械,建筑业,土石方机械,国家生产工程机械产品的重点骨干大型一类企业,国家重点生产轮式装载系列产品的骨干大型一类企业,"中俄贸易,军工,机械装备,高端装备,挖掘机,福建基建,国企改革,一带一路,福建自贸区,地方国企改革",
002263.SZ,大东南,50.2,50.2,2.67,-0.37,基础化工-化工合成材料-膜材料,膜材料,合成材料,化工,塑料包装薄膜,国内包装膜行业龙头,特高压产品已超出国内同行业水平,"新材料,石墨烯,柔性直流输电,膜材料,特高压,食品包装,国企改革,新能源汽车,煤化工,光伏,共同富裕示范区,地方国企改革",
600416.SH,湘电股份,208.5,247.6,18.68,-0.37,电力设备-电力设备-电机,电机,电气设备,电力设备,电机,中国机电行业最具价值的品牌之一,电工行业产品配套能力、科研开发能力最强的企业之一,"军工,节水灌溉,储能,国企改革,军民融合,湖南国企改革,新能源,高端装备,节能电机,海上风电,风电,地方国企改革",中证500
688101.SH,三达膜,44.5,44.5,13.33,-0.37,环保-环保-水务及水治理,水务,环保,公共事业,膜技术应用,中国膜技术开发与应用领域的开拓者,知名的膜技术应用方案提供商和水务投资运营商,"污水处理,盐湖提锂,净水,石墨烯,代糖",
605300.SH,佳禾食品,12.2,85.0,21.24,-0.38,食品饮料-食品加工制造-乳品,乳制品,食品,必需消费,植脂末、咖啡,公司是国内较早进入植脂末产品领域的企业,国内最早进入植脂末行业的企业之一,"大消费,电子商务,代糖",
002543.SZ,万和电气,49.4,59.2,7.96,-0.38,家用电器-厨卫电器-厨卫电器Ⅲ,厨卫电器,家电,可选消费,厨房电器,中国专业燃气具行业龙头企业,围绕厨卫电器主业展开发展的生活热水系统供应商,"太阳能,智能制造,空气能热泵,净水,独角兽,家用电器,工业4.0,智能家居,太阳能热水器,节能环保",
002321.SZ,华英农业,56.5,56.5,2.65,-0.38,农林牧渔-养殖业-畜禽养殖,鸡肉,养殖,必需消费,养鸭,中国境内规模最大的樱桃谷鸭生产企业,从事鸭子全产业链业务的畜牧龙头企业,"家庭农场,区块链应用,预制菜,农村电商,区块链,新零售,农信社改革,养鸡,土地流转,生态农业,食品安全,乡村振兴,农垦改革",
600345.SH,长江通信,41.9,41.9,21.18,-0.38,通信-通信设备-其他通信设备,通信网络,通信,科技,智能交通产品,智能交通领域新星,"国家光电子信息产业基地""武汉-中国光谷""的骨干企业之一","智能交通,光纤光缆,光纤,国企改革,VR设备,武汉光谷,武汉自贸区,宽带中国,卫星导航,央企国企改革,5G,地方国企改革,人工智能",
600713.SH,南京医药,54.9,69.1,5.27,-0.38,医药生物-医药商业-医药商业Ⅲ,医药商业,医疗服务,生物医药,医药批发,苏皖闽三省药品流通行业领先企业之一,国内首家医药流通类上市公司，南京药品市场上拥有40%以上的份额,"医保目录,南京国企改革,互联网医疗,国企改革,冷链物流,江苏国企改革,医药电商,地方国企改革,医疗改革",
300149.SZ,睿智医药,39.4,39.5,7.9,-0.38,医药生物-医疗服务-医疗研发外包,CRO,医疗服务,生物医药,医药研发服务,全资子公司上海睿智是新药靶点范围最多的CRO企业之一,在临床前CRO市场规模位于国内前三甲,"重组蛋白,创新药,新冠治疗,CRO,生物医药,新冠检测",
600359.SH,新农开发,30.1,30.1,7.89,-0.38,农林牧渔-种植业与林业-其他种植业,棉花,农业,必需消费,棉花种植+乳制品生产,乳制品和棉花种业有区域资源、独创合作体系等独特优势,新疆较大的液态奶、皮棉及种子生产企业,"棉,奶牛养殖,农村电商,新疆振兴,土地流转,国企改革,抗旱,乡村振兴,乳粉,新疆建设兵团,粮食,农垦改革,农业种植,乳业,棉花种植,地方国企改革",
000910.SZ,大亚圣象,43.1,43.1,7.88,-0.38,轻工制造-家用轻工-瓷砖地板,地板,家居装修,建筑业,木地板,地板和人造板行业龙头企业,从事人造板和地板的生产销售业务,"养老金持股,精装修,林场改革",
600310.SH,广西能源,63.8,76.9,5.25,-0.38,公用事业-电力-电能综合服务,供电,电力,公共事业,水电（广东）,广西地方水电，有区域优势,拥有完整的发、供电网络，具备“厂网合一”的企业,"电力改革,国企改革,绿色电力,北部湾自贸区,光伏,抽水蓄能,风电,超超临界发电,地方国企改革",
000901.SZ,航天科技,83.7,83.7,10.49,-0.38,交运设备-汽车零部件-汽车零部件Ⅲ,航天卫星,军工,公共事业,航天飞行器,航天科工集团旗下的航天飞行器制造公司,航天科工集团旗下的航天飞行器和汽车电子产品制造公司,"物联网,太空经济,军工,传感器,航空航天,航天系,工业互联网,国企改革,军民融合,黑龙江自贸区,俄乌冲突,车联网,汽车电子,中俄贸易,智能电网,无人驾驶,一带一路,无人机,振兴东北,卫星导航,央企国企改革,地方国企改革",中证1000
002183.SZ,怡亚通,136.0,136.1,5.24,-0.38,交通运输-物流-物流Ⅲ,物流,物流,交通运输,供应链管理,国内领先的供应链服务商,国内领先的供应链服务商，已成为重要的流通快消品分销服务平台,"健康中国,白酒,农村电商,啤酒,供应链金融,国企改革,国产操作系统,乡村振兴,统一大市场,大数据,小额再贷款,上海自贸区,电子商务,粤港澳大湾区,小额贷款,地方国企改革,深圳国企改革,新型烟草,新零售,京东,信创,现代服务业,乳业,社区团购,广东国企改革,REITs,新能源汽车",中证500
600018.SH,上港集团,1212.0,1217.8,5.23,-0.38,交通运输-港口航运-港口,港口,水运,交通运输,港口装卸,我国最大的港口股份制企业之一,集装箱吞吐量自2010年起连续九年位居世界第一,"MSCI,足球,长三角一体化,国企改革,黄金水道,上海国企改革,上海自贸区,免税店,证金持股,一带一路,航运港口,自由贸易港,F5G,同花顺中特估100,地方国企改革,体育产业",沪深300
605599.SH,菜百股份,76.6,101.5,13.05,-0.38,轻工制造-家用轻工-饰品,黄金,贵金属,金融,黄金珠宝商品,中国黄金珠宝行业领先企业,公司在黄金珠宝首饰行业具有较高的市场认可度和品牌知名度,"黄金,北京国企改革,电子商务,冬奥会,国企改革,冬奥纪念品,白银,网络直播,地方国企改革",
600100.SH,同方股份,231.5,261.7,7.81,-0.38,计算机-计算机设备-计算机设备Ⅲ,IDC/服务器,计算机,科技,服务器、PC,中核集团科研院所和清华大学科技成果转化授权承接平台,公司是以清华大学为依托的科研成果产业化平台,"军工,物联网,区块链,癌症定量检测,土壤修复,国企改革,养老,国产操作系统,电子书,物联网感知层,机器视觉,大数据,海绵城市,数字经济,智能家居,紫光系,智慧城市,央企国企改革,网络安全,北交所,地方国企改革,电子车牌,安防,太赫兹,电子信息,东数西算（算力）,量子霍尔,华为,信创,机器人,算力租赁,互联网保险,国资云,数字电视,在线教育,移动支付,电子标签,数据要素,ChatGPT,节能照明,云计算,人工智能",中证1000
002666.SZ,德联集团,23.3,39.1,5.19,-0.38,基础化工-化学制品-其他化学制品,化学制品,基础化工,化工,汽车精细化学品,国内汽车精细化学品龙头企业,国内汽车精细化学品的龙头,"特斯拉,新材料,智能汽车,比亚迪,小鹏汽车,有机硅,金属回收,新能源汽车,蔚来汽车,尾气治理,汽车热管理,乙二醇,燃料电池,胎压监测",
831039.BJ,国义招标,8.0,8.0,5.18,-0.38,社会服务-其他社会服务-专业服务,工程招标,工程设计,建筑业,招标代理,国内重要的招标代理及招标增值服务商,国内招标代理行业的领军企业,"广东国企改革,国企改革",
600777.SH,新潮能源,164.2,175.5,2.58,-0.39,石油石化-油气开采及服务-油气开采,天然气,石油,资源,石油,主营美国油气资源的勘探、开采及销售,在美国拥有两处高价值的油田资产,"天然气,赛马,海底隧道,页岩气,油气开采,人民币贬值受益,油品改革,俄乌冲突",中证1000
002522.SZ,浙江众成,44.2,46.7,5.16,-0.39,基础化工-化工合成材料-膜材料,膜材料,合成材料,化工,薄膜,全球市场占有率排名第二的POF热收缩膜行业领军企业,我国POF热收缩膜生产制造行业的领军企业,"新材料,长三角一体化,国产替代,国企改革,专精特新,塑料钞票,5G,嘉兴土改,湖南国企改革,地方国企改革,共同富裕示范区",
002285.SZ,世联行,52.0,52.5,2.58,-0.39,房地产-房地产服务-房地产服务Ⅲ,房产服务,房地产,金融,地产交易资产服务,国内首家登陆A股的房地产综合服务提供商,珠海国资委旗下，国内知名的房地产中介服务商,"物业管理,共享经济,横琴新区,国企改革,养老,大消费,租售同权,珠海国企改革,小额再贷款,广东国企改革,REITs,粤港澳大湾区,恒大,地方国企改革",中证1000
