涨停日期,一字板,涨停数,跌停数,开板数,开板率,连板数,最高 连板,两市 总成交,两市 总涨幅,涨停 总成交,涨停 总封单,涨停 最大封单,涨停封单,涨停 最大成交,涨停成交额,当日题材,连板股,反包股,长腿股,开板股,趋势股,大成交股,page
"2018-10-24
周三
涨停明细",8,49,5,37,43.00%,15,6,2971亿,-0.03%,72.73亿,54.95亿,12.53亿,"12.53亿乔治白, 3.99亿迪威迅, 3.19亿索菱股份, 2.68亿退市绿庭, 1.98亿中成股份",12.8亿,"12.8亿国海证券, 9.6亿乐视退, 8亿太平洋, 3.4亿维宏股份, 2.5亿*ST荣华",高送转+妖股/壳概念/券商板块/业绩预增/项目中标/高送转填权/董事长变更,"6板维宏股份, 4板摩恩电气, 3板恒立实业/国海证券/三变科技/ST弘高/群兴玩具/乔治白/三晖电气/华资实业/退市绿庭, 2板旺能环境",精伦电子,14.67%*ST西发,"4板民生控股(6.67%), 3板*ST凯瑞(2.89%), 3板达 意 隆(1.48%), 3板大为股份(0.63%), 3板ST步森(0.44%), 3板香梨股份(6.14%), 3板南京证券(4.57%), 2板德新交运(8.33%)","35天*ST尤夫, 31天朗迪集团, 28天德龙汇能, 22天恒久科技",54亿中国平安/48亿贵州茅台/43亿中信证券/34亿伊利股份/27亿东方财富/25亿五 粮 液/24亿迈瑞医疗/22亿ST康美/20亿平安银行/20亿华泰证券/19亿招商银行/18亿格力电器,
"2018-10-23
周二
涨停明细",17,55,11,42,43.30%,35,5,3576亿,-2.25%,75.56亿,75.98亿,15.43亿,"15.43亿国海证券, 6.21亿乔治白, 3.87亿ST商城, 3.64亿香梨股份, 2.97亿退市绿庭",10.56亿,"10.6亿南京证券, 9.4亿乐视退, 6亿大烨智能, 4.4亿退市刚泰, 4.4亿德新交运",高送转填权/国资驰援/拟收购/壳概念/超跌反弹/券商板块/黄金,"5板维宏股份/百邦科技, 4板全新好/新宏泰, 3板民生控股/罗普斯金/摩恩电气/同益股份, 2板汇源通信/恒立实业/国海证券/*ST凯瑞",浩物股份/达 意 隆/美联新材,16.24%园城黄金,"4板新坐标(0.9%), 3板顶固集创(-3.36%), 3板精伦电子(-0.64%), 3板ST安信(5.34%), 2板荣丰控股(2.2%), 2板亚太实业(5.25%), 2板兰州黄河(4.38%), 2板欣龙控股(4.73%)","34天*ST尤夫, 30天朗迪集团, 28天东宏股份, 27天德龙汇能, 21天恒久科技",81亿贵州茅台/78亿中国平安/54亿中信证券/40亿ST康美/33亿迈瑞医疗/32亿五 粮 液/31亿东方财富/28亿万华化学/28亿格力电器/24亿海康威视/24亿华泰证券/22亿中兴通讯,
"2018-10-22
周一
涨停明细",17,192,0,97,33.60%,23,4,4220亿,4.49%,432.95亿,113.66亿,8.37亿,"8.37亿中信证券, 3.4亿乔治白, 3.08亿东方财富, 3.07亿华泰证券, 2.24亿维宏股份",41.75亿,"41.8亿中信证券, 38.1亿东方财富, 17.5亿华泰证券, 16.9亿迈瑞医疗, 13.1亿国泰君安",高送转填权/超跌反弹/国资驰援/拟收购/壳概念/大金融板块/业绩增长+填权,"4板维宏股份/百邦科技, 3板全新好/新宏泰/新坐标, 2板民生控股/合力泰/罗普斯金/天虹股份/摩恩电气/金溢科技/金通灵",同花顺,22.25%朗科科技/14.56%兴瑞科技/14.29%润都股份,"2板钒钛股份(7.35%), 2板嘉泽新能(7.71%), 2板珀莱雅(8.48%), 1板深康佳Ａ(8.44%), 1板*ST宜康(-5%), 1板渤海租赁(7.76%)","33天*ST尤夫, 31天乐通股份, 29天朗迪集团, 28天创力集团, 27天东宏股份, 26天德龙汇能, 22天坤彩科技",110亿中国平安/72亿ST康美/50亿贵州茅台/42亿中信证券/38亿东方财富/34亿格力电器/33亿中兴通讯/31亿万华化学/31亿海康威视/29亿平安银行/29亿恒瑞医药/28亿五 粮 液,
"2018-10-19
周五
涨停明细",0,53,17,32,37.60%,5,3,2870亿,2.68%,92.74亿,37.84亿,4.14亿,"4.14亿迈瑞医疗, 2.59亿顶固集创, 1.99亿会畅通讯, 1.91亿必创科技, 1.82亿罗普斯金",30.11亿,"30.1亿迈瑞医疗, 8亿长春高新, 6.2亿航天信息, 3.2亿全新好, 3.2亿顶固集创",高送转填权/超跌反弹/国资驰援/拟收购/业绩预增/区块链+填权/业绩增长,"3板维宏股份/百邦科技, 2板全新好/新宏泰/新坐标",迈瑞医疗,22.19%博信股份/21.80%同益股份/21.32%同为股份/17.11%诚迈科技/17.02%恒逸石化/16.62%四方精创/16.56%永和智控/15.99%新泉股份/15.55%ST柏龙/15.51%精伦电子/15.26%会畅通讯/15.24%沪电股份,"3板ST柏龙(9.25%), 3板万集科技(6.71%), 1板神州高铁(9.5%), 1板钒钛股份(7.93%), 1板恒逸石化(5.31%)","32天*ST尤夫, 30天乐通股份, 28天朗迪集团, 27天创力集团, 26天东宏股份, 25天德龙汇能, 21天坤彩科技",73亿中国平安/50亿贵州茅台/30亿迈瑞医疗/24亿中兴通讯/23亿东方财富/22亿招商银行/22亿平安银行/22亿格力电器/22亿五 粮 液/19亿海康威视/19亿恒瑞医药/18亿中信证券,
"2018-10-18
周四
涨停明细",2,22,121,32,59.20%,4,2,2397亿,-2.67%,20.3亿,18.74亿,3.07亿,"3.07亿ST八菱, 1.54亿天地数码, 1.35亿路畅科技, 1.25亿万隆光电, 1.09亿ST天成",2.76亿,"2.8亿天地数码, 2.6亿润都股份, 2.2亿百邦科技, 2亿实丰文化, 1.9亿路畅科技",国资驰援/高送转填权/业绩预增+填权/超跌反弹/股权转让/无人驾驶/收购资产,2板海顺新材/维宏股份/万集科技/百邦科技,,22.24%润都股份/22.12%ST柏龙/15.96%实丰文化/14.23%中威电子,"13板金力永磁(5.13%), 5板杰恩设计(5.41%), 3板贵人鸟(-3.94%), 2板嘉寓股份(2.38%), 2板英唐智控(-0.21%), 2板中建环能(-3.76%), 2板迈瑞医疗(4.75%), 2板文一科技(5.71%)","38天中国石油, 31天*ST尤夫, 30天郑煤机, 29天乐通股份, 27天杭州高新, 27天朗迪集团, 26天创力集团, 25天东宏股份, 24天德龙汇能",45亿迈瑞医疗/38亿中国平安/34亿贵州茅台/18亿中国中免/16亿格力电器/16亿东方财富/16亿招商银行/16亿恒瑞医药/15亿中国软件/12亿万 科Ａ/11亿伊利股份/11亿中兴通讯,
"2018-10-17
周三
涨停明细",3,50,29,20,28.60%,9,4,2585亿,0.75%,79.03亿,40.23亿,2.61亿,"2.61亿中建环能, 2.16亿中国软件, 1.69亿春光科技, 1.57亿芯能科技, 1.55亿聚灿光电",11.4亿,"11.4亿中国软件, 5.6亿利亚德, 5.1亿芯能科技, 3.6亿宝信软件, 3.5亿赫美集团",深圳本地股/黄金上涨/深圳本地股+填权/业绩预增+海南/近端次新股/与京东合作/人民币贬值受益,"4板同益股份/杰恩设计/园城黄金, 3板ST海投/赫美集团, 2板永和智控/退市金泰/贵人鸟/春光科技",退市海创/芯能科技/淳中科技,22.09%ST柏龙/17.11%新华联/14.95%深圳新星,"2板千山退(3.53%), 2板兴源环境(2.03%), 1板ST大洲(5.09%), 1板盛达资源(5.39%), 1板鸿达兴业(4.98%)","37天中国石油, 30天*ST尤夫, 29天郑煤机, 28天乐通股份, 26天杰瑞股份, 26天杭州高新, 26天朗迪集团, 25天创力集团, 24天东宏股份, 23天德龙汇能",49亿中国平安/29亿贵州茅台/22亿华友钴业/19亿招商银行/18亿中兴通讯/17亿东方财富/16亿格力电器/16亿五 粮 液/16亿伊利股份/15亿中国中免/14亿平安银行/14亿科大讯飞,
"2018-10-16
周二
涨停明细",3,28,61,34,54.80%,9,3,2361亿,-1.40%,35.02亿,34.1亿,4.42亿,"4.42亿兴源环境, 3.89亿ST云城, 3.57亿同益股份, 2.32亿春光科技, 1.4亿永和智控",4.59亿,"4.6亿ST浩源, 3.7亿千山退, 2.6亿德龙汇能, 2.4亿春光科技, 2.1亿永和智控",业绩预增/黄金上涨/深圳本地股+填权/深圳本地股/军民融合/高送转填权/要约收购,"3板同益股份/杰恩设计/园城黄金, 2板ST海投/赫美集团/英飞拓/美芝股份/友讯达/ST云城",春光科技,19.51%浙江仙通/16.22%退市刚泰/15.29%华塑控股,"2板得润电子(4.13%), 2板飞马国际(6.15%), 2板北讯退(4.01%), 2板英可瑞(-0.99%), 2板欣锐科技(1.1%), 1板锦龙股份(9.88%), 1板力合科创(4.56%), 1板和而泰(7.92%)","38天蓝焰控股, 36天中国石油, 34天中油工程, 29天*ST尤夫, 28天佳士科技, 28天郑煤机, 27天乐通股份, 27天天地科技, 25天杰瑞股份, 25天杭州高新",38亿中国平安/18亿贵州茅台/17亿招商银行/15亿格力电器/15亿平安银行/14亿科大讯飞/14亿万华化学/13亿钒钛股份/11亿中兴通讯/11亿浪潮信息/11亿伊利股份,
"2018-10-15
周一
涨停明细",8,38,28,38,50.00%,7,5,2387亿,-1.50%,53.33亿,38.5亿,5.46亿,"5.46亿同益股份, 2.69亿欣锐科技, 2.42亿宁德时代, 2.12亿兴瑞科技, 1.64亿友讯达",13.63亿,"13.6亿宁德时代, 8.7亿兴瑞科技, 3.1亿*ST顺利, 2.4亿大烨智能, 2.2亿北讯退",填权+次新股/业绩预增/高送转填权/深圳本地股+填权/近端次新股/黄金上涨/深圳本地股,"5板大烨智能, 3板*ST顺利, 2板兴瑞科技/同益股份/美联新材/杰恩设计/园城黄金",实丰文化,22.28%盈康生命/17.10%友讯达/17.07%紫鑫药业/14.62%退市刚泰,"3板英联股份(1.15%), 3板退市刚泰(3.05%), 2板三晖电气(5.54%), 2板星帅尔(8.24%), 2板会畅通讯(6.19%), 2板欣天科技(6.62%), 2板双一科技(4.68%), 2板亚普股份(0.85%)","38天达安基因, 37天皇庭国际, 37天蓝焰控股, 35天中国石油, 33天中油工程, 28天*ST尤夫, 28天中华企业, 27天佳士科技, 27天郑煤机, 26天乐通股份",34亿中国平安/24亿贵州茅台/19亿中兴通讯/18亿格力电器/16亿钒钛股份/15亿五 粮 液/15亿浪潮信息/14亿平安银行/14亿宁德时代/13亿海尔智家/13亿伊利股份/12亿长春高新,
"2018-10-12
周五
涨停明细",2,40,33,26,39.40%,6,4,3089亿,0.68%,59.64亿,37.09亿,2.63亿,"2.63亿亚普股份, 2.48亿同益股份, 1.91亿超频三, 1.84亿华菱精工, 1.83亿江龙船艇",5.12亿,"5.1亿德新交运, 4.8亿*ST未来, 3.9亿兴瑞科技, 3.6亿*ST海核, 3.1亿高争民爆",填权+次新股/业绩预增+高送转/业绩预增/出口退税/川藏铁路/高送转填权/超跌反弹,"4板大烨智能, 3板华信新材, 2板*ST顺利/高争民爆/英联股份/江龙船艇",,20.65%星帅尔/20.40%凤凰光学/18.75%彩虹股份/17.92%威星智能/17.89%甘化科工/17.00%德新交运/16.82%河钢资源/16.59%尚纬股份/16.52%钧达股份/16.24%华塑控股/16.09%智能自控/15.70%全筑股份,"2板*ST西发(8.73%), 2板退市刚泰(5.19%), 1板甘化科工(6.17%), 1板英 力 特(8.49%), 1板协鑫能科(4.33%)","37天达安基因, 36天皇庭国际, 36天蓝焰控股, 34天中国石油, 32天中油工程, 30天海油工程, 30天中海油服, 28天常宝股份, 27天*ST尤夫, 27天中华企业",49亿中国平安/36亿贵州茅台/23亿格力电器/22亿五 粮 液/21亿中兴通讯/19亿招商银行/19亿海康威视/16亿恒瑞医药/15亿平安银行/15亿华友钴业/15亿京东方Ａ/14亿中国铁建,
"2018-10-11
周四
涨停明细",2,17,1046,12,41.40%,6,3,3586亿,-5.65%,40.07亿,17.21亿,1.76亿,"1.76亿高争民爆, 1.61亿退市刚泰, 1.42亿四川金顶, 1.4亿英联股份, 1.27亿千山退",6.94亿,"6.9亿ST金鸿, 4.2亿四川金顶, 4.1亿大烨智能, 3.7亿华纺股份, 3亿千山退",债务危机有望化解/填权+次新股/油气产业链/汽车消费/次新+高送转/川藏铁路/业绩预增,"3板千山退/大烨智能, 2板ST金鸿/今飞凯达/华信新材/恒通股份",,17.97%四方达/16.65%英联股份/15.70%ST金鸿/15.42%南宁百货/15.38%退市刚泰/15.33%江龙船艇/15.16%华纺股份/14.23%晨化股份,"3板川恒股份(-2.39%), 3板友讯达(1.98%), 2板*ST银河(3.36%), 1板神州数码(-7.5%), 1板中交地产(4.48%), 1板成都路桥(4.67%)","36天达安基因, 35天皇庭国际, 35天石化机械, 35天蓝焰控股, 33天中国石油, 31天中油工程, 29天海油工程, 29天中海油服, 27天常宝股份, 26天*ST尤夫",71亿中国平安/60亿贵州茅台/27亿五 粮 液/27亿格力电器/22亿京东方Ａ/20亿中兴通讯/20亿平安银行/19亿海康威视/18亿中信证券/18亿招商银行/17亿钒钛股份/16亿恒瑞医药,
"2018-10-10
周三
涨停明细",3,38,11,23,37.70%,10,5,2360亿,-0.13%,53.82亿,33.69亿,1.62亿,"1.62亿汇得科技, 1.52亿千山退, 1.51亿华通热力, 1.44亿ST金鸿, 1.36亿宇环数控",6.65亿,"6.6亿德新交运, 4.9亿汇得科技, 4.1亿ST金鸿, 3.4亿仁智股份, 3.4亿锋龙股份",高送转预期+次新股/医药/油气产业链/高送转填权/填权+次新股/出口退税/债务危机有望化解,"5板锋龙股份, 3板天宇股份, 2板仁智股份/川恒股份/千山退/友讯达/南京聚隆/大烨智能/德新交运/迪贝电气",,17.37%宝德退,"3板中欣氟材(5.72%), 1板紫光国微(4.24%), 1板安 纳 达(6.19%), 1板中核钛白(8.1%)","35天达安基因, 34天皇庭国际, 34天石化机械, 34天蓝焰控股, 32天中国石油, 30天中油工程, 28天海油工程, 28天中海油服, 26天常宝股份, 25天*ST尤夫",43亿贵州茅台/38亿中国平安/26亿五 粮 液/20亿赣锋锂业/17亿格力电器/14亿钒钛股份/13亿中国铁建/12亿海康威视/12亿东方财富/12亿招商银行/11亿洋河股份/11亿贵州燃气,
"2018-10-09
周二
涨停明细",3,30,6,17,36.20%,7,4,2318亿,-0.01%,46.15亿,26.08亿,1.78亿,"1.78亿南京聚隆, 1.66亿大烨智能, 1.51亿千山退, 1.39亿天夏退, 1.3亿宝莫股份",5.58亿,"5.6亿*ST未来, 5.1亿德新交运, 3.2亿宝莫股份, 3.2亿锋龙股份, 2.8亿利源精制",次新股/游资炒作/股权转让/油气产业链/合同中标/医药/业绩预增,"4板锋龙股份/*ST未来, 3板金明精机, 2板宝莫股份/中欣氟材/*ST文化/天宇股份",美诺华,,"3板北汽蓝谷(8.33%), 2板中远海能(6.58%), 1板*ST凯瑞(6.25%), 1板乐通股份(2.35%), 1板中晟高科(7.36%)","34天达安基因, 33天皇庭国际, 33天石化机械, 33天蓝焰控股, 31天中国石油, 29天中油工程, 27天海油工程, 27天中海油服, 25天常宝股份, 24天*ST尤夫",32亿中国平安/28亿贵州茅台/21亿海康威视/18亿格力电器/15亿中兴通讯/14亿钒钛股份/14亿万 科Ａ/14亿五 粮 液/13亿中国石化/12亿招商银行/12亿万华化学/11亿平安银行,
"2018-10-08
周一
涨停明细",3,17,41,16,48.50%,4,3,2889亿,-3.88%,29.49亿,19.42亿,2.61亿,"2.61亿贵州燃气, 2.3亿华星创业, 2.02亿外服控股, 1.65亿嘉麟杰, 1.32亿宝莫股份",8.31亿,"8.3亿贵州燃气, 3.1亿锋龙股份, 3亿*ST未来, 2.2亿外服控股, 1.7亿名臣健康",超跌反弹/股权转让/海南自贸区/人民币贬值受益/页岩气/庄股/次新股+超跌反弹,"3板锋龙股份/*ST未来, 2板京粮控股/金明精机",,17.68%退市刚泰/15.35%中欣氟材/14.48%名臣健康/14.11%ST安信/14.05%京粮控股,"3板新里程(1.61%), 2板退市鹏起(6.99%), 2板国新能源(4.57%), 2板北汽蓝谷(3.35%), 1板金智科技(7.55%), 1板ST天润(5.66%), 1板百润股份(-3.25%)","33天达安基因, 32天皇庭国际, 32天石化机械, 32天蓝焰控股, 30天中国石油, 28天中油工程, 26天海油工程, 26天中海油服, 24天常宝股份, 23天*ST尤夫",74亿中国平安/58亿贵州茅台/28亿海康威视/28亿格力电器/27亿中兴通讯/24亿五 粮 液/23亿万 科Ａ/22亿中国石化/19亿招商银行/18亿平安银行/18亿恒瑞医药/17亿钒钛股份,
"2018-09-28
周五
涨停明细",1,23,8,19,45.20%,3,2,2632亿,0.93%,59.87亿,23.91亿,2.84亿,"2.84亿宏川智慧, 2.1亿包钢股份, 2.03亿雅运股份, 1.76亿深中华A, 1.67亿北汽蓝谷",15.17亿,"15.2亿包钢股份, 8.8亿雅运股份, 5.5亿新里程, 3.9亿宝德退, 3.2亿北汽蓝谷",超跌反弹/超跌次新/创业板人气股/海南自贸区/深圳本地股/产品涨价/次新股+汽车,2板新里程/锋龙股份/*ST未来,宝德退/江苏索普,20.76%宝德退/15.98%北汽蓝谷/14.50%科陆电子,"2板钒钛股份(7%), 2板三峡旅游(3.92%), 2板明星电力(6.4%), 1板伟隆股份(6.65%), 1板新开源(9.3%), 1板飞力达(7.73%)","32天达安基因, 31天皇庭国际, 31天石化机械, 31天蓝焰控股, 29天中国石油, 27天中油工程, 25天海油工程, 25天中海油服, 23天常宝股份, 23天天孚通信",51亿中国平安/26亿贵州茅台/23亿平安银行/23亿钒钛股份/20亿格力电器/19亿万华化学/17亿招商银行/17亿万 科Ａ/16亿五 粮 液/16亿中兴通讯/15亿包钢股份/14亿赣锋锂业,
"2018-09-27
周四
涨停明细",1,14,20,18,56.20%,3,4,2860亿,-0.78%,39.73亿,17.48亿,3.88亿,"3.88亿钒钛股份, 1.8亿新里程, 1.6亿ST中珠, 1.45亿*ST未来, 1.45亿广汇物流",14.89亿,"14.9亿钒钛股份, 5.6亿ST天润, 5.6亿ST中珠, 2.5亿新里程, 2亿德龙汇能",妖股/战略合作协议/实控人拟变更/医药/超跌反弹/乡村振兴/有色钒,"4板ST天润, 3板广汇物流, 2板德龙汇能",,14.44%锋龙股份,"7板宝德退(3.72%), 3板乐视退(3.29%), 3板江苏索普(1.98%), 3板捷昌驱动(4.11%), 2板英特集团(1.33%), 2板中南文化(5%), 2板福鞍股份(5.02%), 2板四通股份(3.77%)","35天济民医疗, 31天达安基因, 31天亚振家居, 30天皇庭国际, 30天石化机械, 30天蓝焰控股, 29天奥克股份, 28天中国石油, 26天中油工程, 24天海油工程",42亿中国平安/29亿贵州茅台/25亿中兴通讯/22亿赣锋锂业/20亿格力电器/20亿乐视退/16亿飞马国际/15亿钒钛股份/15亿五 粮 液/15亿海康威视/14亿恒瑞医药/13亿华西能源,
"2018-09-26
周三
涨停明细",1,31,6,17,35.40%,8,4,3104亿,0.86%,71.1亿,33.91亿,2.89亿,"2.89亿广汇物流, 2.88亿丰山集团, 1.93亿华民股份, 1.74亿乐视退, 1.7亿山东矿机",15.85亿,"15.9亿乐视退, 5.8亿中南文化, 5.5亿山东矿机, 5.4亿丰山集团, 4.5亿福能东方",实控人拟变更/超跌反弹/新能源汽车/拟收购/资产注入/战略合作协议/出售资产,"4板鞍重股份, 3板ST天润, 2板山东章鼓/乐视退/西菱动力/广汇物流/江苏索普/恒润股份",山东墨龙/福能东方,15.81%福能东方,"4板合力科技(5.04%), 3板北讯退(9.53%), 2板金财互联(7.96%), 1板汇源通信(6.96%), 1板大连重工(5.59%), 1板永和智控(5.19%)","34天济民医疗, 30天达安基因, 30天亚振家居, 29天皇庭国际, 29天石化机械, 29天蓝焰控股, 28天奥克股份, 27天中国石油, 25天中油工程, 23天海油工程",62亿中国平安/52亿贵州茅台/29亿五 粮 液/29亿中兴通讯/24亿海康威视/24亿格力电器/23亿招商银行/21亿万 科Ａ/21亿恒瑞医药/17亿农业银行/16亿中信证券/16亿平安银行,
"2018-09-25
周二
涨停明细",2,19,6,19,50.00%,5,3,2424亿,-0.62%,28.87亿,36.79亿,9.93亿,"9.93亿广汇物流, 8.22亿山东章鼓, 3亿乐视退, 1.9亿龙建股份, 1.75亿西菱动力",4.56亿,"4.6亿鸿博股份, 4亿002477, 3.2亿ST天润, 3亿广汇汽车, 2.8亿乐视退",实控人拟变更/汽车消费/超跌反弹/消费板块/体育产业/拟收购/猪瘟疫情,"3板鞍重股份/合力科技, 2板南华生物/ST天润/*ST中潜",鸿博股份/西菱动力,14.88%四川金顶/14.00%大烨智能,"5板福能东方(2.79%), 2板北讯退(3.85%), 2板力盛体育(3.33%), 1板深粮控股(1.89%), 1板中国天楹(1.71%), 1板*ST沈机(5.23%)","33天济民医疗, 29天达安基因, 29天亚振家居, 28天皇庭国际, 28天石化机械, 28天蓝焰控股, 27天奥克股份, 26天中国石油, 24天中油工程, 22天海油工程",39亿中国平安/23亿万 科Ａ/21亿贵州茅台/21亿郑州银行/21亿赣锋锂业/20亿格力电器/19亿中兴通讯/17亿保利发展/16亿招商银行/16亿鹏鼎控股/15亿中国软件/13亿广汇能源,
"2018-09-21
周五
涨停明细",6,26,8,31,54.40%,5,2,3215亿,2.31%,70.65亿,35.26亿,8.97亿,"8.97亿四通股份, 5.59亿赣锋锂业, 2.62亿中国国航, 1.75亿科泰电源, 1.67亿鞍重股份",18.74亿,"18.7亿赣锋锂业, 8.9亿中国国航, 7.4亿鸿达兴业, 5.6亿北讯退, 5.2亿科恒股份",汽车消费/超跌反弹/锂电池/基建/实控人拟变更/体育产业/消费板块,2板鸿达兴业/鞍重股份/科恒股份/ST九有/合力科技,南风股份,,"4板福能东方(3.26%), 3板退市中天(1.07%), 2板深中华A(2.29%), 2板西安饮食(-0.84%), 2板大为股份(5.68%), 2板鸿博股份(5.13%), 1板国新健康(8.76%), 1板通化金马(4.24%)","32天济民医疗, 28天达安基因, 28天亚振家居, 27天皇庭国际, 27天石化机械, 27天蓝焰控股, 26天奥克股份, 25天中国石油, 23天嘉凯城, 23天中油工程",54亿中国平安/32亿格力电器/30亿贵州茅台/29亿中兴通讯/27亿万 科Ａ/25亿鹏鼎控股/24亿农业银行/23亿招商银行/22亿五 粮 液/20亿中信证券/19亿赣锋锂业/19亿工商银行,
"2018-09-20
周四
涨停明细",2,34,6,19,35.80%,7,4,2504亿,-0.12%,57.91亿,44.53亿,4.92亿,"4.92亿退市中天, 3.59亿鞍重股份, 2.72亿深振业Ａ, 2.33亿科恒股份, 2.15亿深中华A",7.24亿,"7.2亿德新交运, 5.7亿深振业Ａ, 3.7亿山东路桥, 3.7亿重药控股, 3.1亿科新机电",核电/基建/机器人概念/粤港澳/实控人拟变更/油气产业链/自主可控,"4板科新机电, 3板山东路桥/福能东方, 2板深振业Ａ/天夏退/退市中天/如通股份",,14.63%山东路桥,"4板汇源通信(2.09%), 4板达刚控股(4.82%), 3板ST远程(4.27%), 3板飞力达(-0.26%), 3板康尼机电(2.43%), 2板威尔泰(3.95%), 2板华东数控(1.04%), 2板南风股份(3.64%)","31天济民医疗, 27天达安基因, 27天亚振家居, 26天皇庭国际, 26天石化机械, 26天蓝焰控股, 25天奥克股份, 24天中国石油, 22天嘉凯城, 22天中油工程",29亿中兴通讯/27亿中国平安/22亿格力电器/20亿钒钛股份/19亿贵州茅台/14亿华友钴业/13亿万 科Ａ/12亿海康威视/12亿万华化学/11亿海螺水泥/11亿恒瑞医药/11亿海尔智家,
"2018-09-19
周三
涨停明细",6,37,6,35,48.60%,12,3,3199亿,1.28%,67.97亿,42.6亿,5.44亿,"5.44亿达刚控股, 3.16亿康尼机电, 2.08亿国民技术, 1.89亿科新机电, 1.74亿博云新材",8.38亿,"8.4亿ST升达, 5.8亿正平股份, 5.1亿博云新材, 4.5亿中公教育, 3.9亿石化机械",基建/油气产业链/核电/实力机构进董事会/5G/军工/智能机器+超跌,"3板汇源通信/ST升达/世嘉科技/科新机电/达刚控股, 2板山东路桥/ST远程/福能东方/飞力达/华民股份/康尼机电/正平股份",,21.15%信质集团,"7板永新光学(-1.75%), 2板钒钛股份(9.76%), 2板广济药业(6.88%), 2板金盾股份(3.64%), 2板海利生物(4.07%), 1板甘咨询(5.55%), 1板秦川机床(3.06%), 1板保利联合(2.07%)","33天沪电股份, 30天济民医疗, 26天达安基因, 26天亚振家居, 25天皇庭国际, 25天石化机械, 25天蓝焰控股, 24天奥克股份, 23天中国石油, 22天赢合科技",54亿中国平安/36亿格力电器/33亿贵州茅台/32亿万 科Ａ/27亿五 粮 液/26亿中兴通讯/21亿钒钛股份/19亿恒瑞医药/18亿海康威视/18亿保利发展/15亿东方财富/15亿中铝国际,
"2018-09-18
周二
涨停明细",3,50,8,25,33.30%,6,6,2537亿,1.74%,118.31亿,43.25亿,3.05亿,"3.05亿永新光学, 2.32亿钒钛股份, 1.72亿中铝国际, 1.69亿西陇科学, 1.64亿正平股份",17.3亿,"17.3亿中铝国际, 11.4亿中国铁建, 8.6亿钒钛股份, 6.1亿ST升达, 6亿永新光学",油气产业链+妖股/基建/核电/天然气+妖股/5G/实力机构进董事会/超跌反弹,"6板宝德退, 2板汇源通信/ST升达/世嘉科技/科新机电/达刚控股",永新光学,18.06%通光线缆/16.16%ST远程/15.94%中铝国际/15.19%金盾股份,"2板ST金鸿(2.63%), 2板ST热电(2.78%), 2板盛洋科技(3.19%), 1板湖南投资(7.33%), 1板烽火电子(5.45%), 1板韶能股份(3.07%)","32天沪电股份, 29天济民医疗, 25天达安基因, 25天亚振家居, 24天皇庭国际, 24天石化机械, 24天蓝焰控股, 23天奥克股份, 22天中国石油, 21天赢合科技",40亿中国平安/32亿中兴通讯/25亿贵州茅台/21亿格力电器/19亿恒瑞医药/17亿中铝国际/17亿五 粮 液/14亿万华化学/13亿长城军工/13亿海康威视/12亿海螺水泥/11亿中国铁建,
"2018-09-17
周一
涨停明细",0,22,22,13,37.10%,5,5,2068亿,-1.26%,52.14亿,25.31亿,2.71亿,"2.71亿长城军工, 2.38亿ST升达, 2.1亿达刚控股, 1.75亿嘉泽新能, 1.71亿当代退",13.66亿,"13.7亿长城军工, 5.3亿当代退, 5.3亿长春燃气, 3.6亿ST升达, 3.5亿ST金鸿",油气产业链/天然气/实控人拟变更/老妖股/蔚来汽车相关/超跌反弹/5G,"5板宝德退, 3板博云新材/长春燃气, 2板特 力Ａ/蓝海华腾",,16.11%高斯贝尔/14.12%长春燃气,"5板永新光学(4.49%), 2板奥特佳(4.74%), 2板ST通葡(-0.21%), 1板惠天热电(5.35%), 1板南宁糖业(5.56%), 1板兔 宝 宝(3.64%)","31天沪电股份, 28天济民医疗, 26天新奥股份, 24天达安基因, 24天亚振家居, 23天皇庭国际, 23天石化机械, 23天蓝焰控股, 22天奥克股份, 21天中国石油",23亿中兴通讯/19亿贵州茅台/17亿中国平安/16亿恒瑞医药/15亿五 粮 液/14亿乐视退/14亿长城军工/14亿万华化学/13亿京东方Ａ/11亿格力电器/10亿中国软件,
"2018-09-14
周五
涨停明细",2,18,21,24,57.10%,5,4,2508亿,-0.40%,25.64亿,18.15亿,2.47亿,"2.47亿博云新材, 1.81亿特 力Ａ, 1.4亿奥特佳, 1.37亿东海A退, 1.21亿众应退",4.12亿,"4.1亿众应退, 4亿长春燃气, 2.2亿名雕股份, 1.8亿通合科技, 1.5亿东海A退",油气产业链/实控人拟变更/新能源汽车/天然气/重组获通过/蔚来汽车相关/超跌反弹,"4板宝德退, 2板博云新材/维科技术/长春燃气/五洲新春",,21.80%德新交运/16.91%乐视退,"9板天奥电子(-1.15%), 4板德新交运(9.61%), 3板ST新海(0.94%), 1板宝塔实业(6.33%), 1板安凯客车(4.65%), 1板联络互动(6.53%)","30天沪电股份, 27天济民医疗, 25天新奥股份, 23天达安基因, 23天亚振家居, 22天皇庭国际, 22天石化机械, 22天蓝焰控股, 21天海思科, 21天奥克股份",35亿中国平安/27亿中兴通讯/26亿贵州茅台/18亿五 粮 液/17亿格力电器/17亿乐视退/16亿浪潮信息/16亿恒瑞医药/14亿东方财富/13亿中铝国际/13亿贵州燃气/13亿航天信息,
