,0,1,2,3,4,5,6,7,8,9
38,,<a href='/en/product/equities/FR0000076655-ALXP/actia-group/alati/quotes' data-order='ACTIA GROUP' data-title-hover='ACTIA GROUP S.A.'>ACTIA GROUP</a>,FR0000076655,ALATI,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>4.65</span></div>,<div class='text-right pd_percent'><span class=red>-0.43%</span></div>,"<div class='text-right pointer tooltipDesign' >17:12 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">4.65</div>","<div class=""text-right"">17 Jul 2023</div>"
39,,<a href='/en/product/equities/FR0014005OJ5-ALXP/acticor-biotech/alact/quotes' data-order='ACTICOR BIOTECH' data-title-hover='ACTICOR BIOTECH'>ACTICOR BIOTECH</a>,FR0014005OJ5,ALACT,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>5.60</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>3.70%</span></div>,"<div class='text-right pointer tooltipDesign' >15:52 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">5.60</div>","<div class=""text-right"">17 Jul 2023</div>"
40,,<a href='/en/product/equities/FR0010979377-XMLI/activium-group/mlact/quotes' data-order='ACTIVIUM GROUP' data-title-hover='ACTIVIUM GROUP'>ACTIVIUM GROUP</a>,FR0010979377,MLACT,<div class='nowrap pointer' title='Euronext Access Paris' >XMLI</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.50</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >11 Jul 2023<span class=""tooltiptext"">12:42 CEST</span></div>","<div class=""text-right"">1.50</div>","<div class=""text-right"">17 Jul 2023</div>"
41,,<a href='/en/product/equities/BE0010012210-VPXB/acvlho/quotes' data-order='ACVLHO' data-title-hover='ACHAT LA CONSTRUCTION LA VENTE ET LA LOCATION D'HABITATIONS OUVRIERES (St pour l')'>ACVLHO</a>,BE0010012210,,<div class='nowrap pointer' title='Euronext Expert Market' >VPXB</div>,"<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>4,500.01</span></div>",<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >07 Jul 2015<span class=""tooltiptext"">11:30 CEST</span></div>","<div class=""text-right"">4,500.00</div>","<div class=""text-right"">17 Jul 2023</div>"
42,,<a href='/en/product/equities/BE0974269012-XPAR/adc-siic/aldv/quotes' data-order='ADC SIIC' data-title-hover='ADC SIIC'>ADC SIIC</a>,BE0974269012,ALDV,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>0.075</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >06 Jul 2023<span class=""tooltiptext"">17:09 CEST</span></div>","<div class=""text-right"">0.075</div>","<div class=""text-right"">17 Jul 2023</div>"
43,,<a href='/en/product/equities/FR0013284627-ALXP/adeunis/alarf/quotes' data-order='ADEUNIS' data-title-hover='ADEUNIS'>ADEUNIS</a>,FR0013284627,ALARF,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.49</span></div>,<div class='text-right pd_percent'><span class=red>-1.97%</span></div>,"<div class='text-right pointer tooltipDesign' >17:05 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">1.49</div>","<div class=""text-right"">17 Jul 2023</div>"
44,"<button type='button' class='btn btn-link p-0 ml-auto' role='button' data-toggle='popover' data-placement='bottom' data-trigger='focus' data-html='true' data-content='<img class=""tech_logo_large mb-2"" src=""/sites/default/files/tech_leaders/euronext_tech_leaders_full.svg"" width=""160"" height=""48""><br>
Euronext Initiative dedicated to highlighting the visibility and attractiveness of high-growth and leading Tech companies towards international investors<br>
<a href=""https://www.euronext.com/en/raise-capital/euronext-tech-leaders"" target=""_blank"">More info</a>'><img class='lookup_instrument_logo' src='/sites/default/files/tech_leaders/euronext_tech_leaders_small.svg' alt=''></button>",<a href='/en/product/equities/NO0010844038-XOSL/adevinta/ade/quotes' data-order='ADEVINTA' data-title-hover='ADEVINTA'>ADEVINTA</a>,NO0010844038,ADE,<div class='nowrap pointer' title='Oslo Børs' >XOSL</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>68.55</span></div>,<div class='text-right pd_percent'><span class=red>-0.94%</span></div>,"<div class='text-right pointer tooltipDesign' >16:26 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">68.55</div>","<div class=""text-right"">17 Jul 2023</div>"
45,,<a href='/en/product/equities/DE000A1EWWW0-BGEM/adidas/1ads/quotes' data-order='ADIDAS' data-title-hover='ADIDAS'>ADIDAS</a>,DE000A1EWWW0,1ADS,<div class='nowrap pointer' title='Borsa Italiana Global Equity Market' >BGEM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>172.14</span></div>,<div class='text-right pd_percent'><span class=red>-0.67%</span></div>,"<div class='text-right pointer tooltipDesign' >17:25 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">172.14</div>","<div class=""text-right"">17 Jul 2023</div>"
46,,<a href='/en/product/equities/FR0011184241-XPAR/adocia/adoc/quotes' data-order='ADOCIA' data-title-hover='ADOCIA'>ADOCIA</a>,FR0011184241,ADOC,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>3.885</span></div>,<div class='text-right pd_percent'><span class=red>-1.77%</span></div>,"<div class='text-right pointer tooltipDesign' >17:37 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">3.885</div>","<div class=""text-right"">17 Jul 2023</div>"
47,,<a href='/en/product/equities/FR0013247244-ALXP/adomos/alado/quotes' data-order='ADOMOS' data-title-hover='ADOMOS'>ADOMOS</a>,FR0013247244,ALADO,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>0.0001</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">0.0001</div>","<div class=""text-right"">17 Jul 2023</div>"
48,,<a href='/en/product/equities/FR0010340141-XPAR/adp/adp/quotes' data-order='ADP' data-title-hover='ADP'>ADP</a>,FR0010340141,ADP,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>129.10</span></div>,<div class='text-right pd_percent'><span class=red>-0.23%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">129.10</div>","<div class=""text-right"">17 Jul 2023</div>"
49,,<a href='/en/product/equities/CY0108052115-MERK/ads-maritime-hold/ads/quotes' data-order='ADS MARITIME HOLD' data-title-hover='ADS MARITIME HOLDING PLC'>ADS MARITIME HOLD</a>,CY0108052115,ADS,<div class='nowrap pointer' title='Euronext Growth Oslo' >MERK</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>2.19</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>9.77%</span></div>,"<div class='text-right pointer tooltipDesign' >13:20 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">2.19</div>","<div class=""text-right"">17 Jul 2023</div>"
50,,<a href='/en/product/equities/FR0012821890-XPAR/adux/adux/quotes' data-order='ADUX' data-title-hover='ADUX'>ADUX</a>,FR0012821890,ADUX,"<div class='nowrap pointer' title='Euronext Paris, Amsterdam' >XPAR, XAMS</div>",<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.395</span></div>,<div class='text-right pd_percent'><span class=red>-0.36%</span></div>,"<div class='text-right pointer tooltipDesign' >09:00 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">1.395</div>","<div class=""text-right"">17 Jul 2023</div>"
51,,<a href='/en/product/equities/US0079031078-BGEM/advanced-micro-dev/1amd/quotes' data-order='ADVANCED MICRO DEV' data-title-hover='ADVANCED MICRO DEVICES'>ADVANCED MICRO DEV</a>,US0079031078,1AMD,<div class='nowrap pointer' title='Borsa Italiana Global Equity Market' >BGEM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>103.66</span></div>,<div class='text-right pd_percent'><span class=red>-3.59%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">103.66</div>","<div class=""text-right"">17 Jul 2023</div>"
52,,<a href='/en/product/equities/US0079031078-MTAH/advanced-micro-dev/2amdv/quotes' data-order='ADVANCED MICRO DEV' data-title-hover='ADVANCED MICRO DEVICES'>ADVANCED MICRO DEV</a>,US0079031078,2AMDV,<div class='nowrap pointer' title='Trading After Hours' >MTAH</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>103.20</span></div>,<div class='text-right pd_percent'><span class=red>-0.44%</span></div>,"<div class='text-right pointer tooltipDesign' >18:22 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">103.20</div>","<div class=""text-right"">17 Jul 2023</div>"
53,,<a href='/en/product/equities/FR0013296746-ALXP/advicenne/aldvi/quotes' data-order='ADVICENNE' data-title-hover='ADVICENNE'>ADVICENNE</a>,FR0013296746,ALDVI,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>3.68</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.68%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">3.68</div>","<div class=""text-right"">17 Jul 2023</div>"
54,,<a href='/en/product/equities/FR0000053043-ALXP/advini/alavi/quotes' data-order='ADVINI' data-title-hover='ADVINI'>ADVINI</a>,FR0000053043,ALAVI,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>20.60</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>1.98%</span></div>,"<div class='text-right pointer tooltipDesign' >10:06 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">20.60</div>","<div class=""text-right"">17 Jul 2023</div>"
55,"<button type='button' class='btn btn-link p-0 ml-auto' role='button' data-toggle='popover' data-placement='bottom' data-trigger='focus' data-html='true' data-content='<img class=""tech_logo_large mb-2"" src=""/sites/default/files/tech_leaders/euronext_tech_leaders_full.svg"" width=""160"" height=""48""><br>
Euronext Initiative dedicated to highlighting the visibility and attractiveness of high-growth and leading Tech companies towards international investors<br>
<a href=""https://www.euronext.com/en/raise-capital/euronext-tech-leaders"" target=""_blank"">More info</a>'><img class='lookup_instrument_logo' src='/sites/default/files/tech_leaders/euronext_tech_leaders_small.svg' alt=''></button>",<a href='/en/product/equities/NL0012969182-XAMS/adyen/adyen/quotes' data-order='ADYEN' data-title-hover='ADYEN'>ADYEN</a>,NL0012969182,ADYEN,<div class='nowrap pointer' title='Euronext Amsterdam' >XAMS</div>,"<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1,547.20</span></div>",<div class='text-right pd_percent'><span class=red>-1.30%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">1,547.20</div>","<div class=""text-right"">17 Jul 2023</div>"
56,,<a href='/en/product/equities/BE0003851681-XBRU/aedifica/aed/quotes' data-order='AEDIFICA' data-title-hover='AEDIFICA'>AEDIFICA</a>,BE0003851681,AED,"<div class='nowrap pointer' title='Euronext Brussels, Amsterdam' >XBRU, XAMS</div>",<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>62.95</span></div>,<div class='text-right pd_percent'><span class=red>-2.70%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">62.95</div>","<div class=""text-right"">17 Jul 2023</div>"
57,,<a href='/en/product/equities/IT0001384590-MTAA/aeffe/aef/quotes' data-order='AEFFE' data-title-hover='AEFFE'>AEFFE</a>,IT0001384590,AEF,<div class='nowrap pointer' title='Euronext Milan' >MTAA</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.186</span></div>,<div class='text-right pd_percent'><span class=red>-1.98%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">1.186</div>","<div class=""text-right"">17 Jul 2023</div>"
58,,<a href='/en/product/equities/NO0012958539-XOAS/aega/aega/quotes' data-order='AEGA' data-title-hover='AEGA'>AEGA</a>,NO0012958539,AEGA,<div class='nowrap pointer' title='Euronext Expand Oslo' >XOAS</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>2.058</span></div>,<div class='text-right pd_percent'><span class=red>-1.06%</span></div>,"<div class='text-right pointer tooltipDesign' >14:33 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">2.058</div>","<div class=""text-right"">17 Jul 2023</div>"
59,,<a href='/en/product/equities/NL0000303709-MTAH/aegon/2agn/quotes' data-order='AEGON' data-title-hover='AEGON'>AEGON</a>,NL0000303709,2AGN,<div class='nowrap pointer' title='Trading After Hours' >MTAH</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>4.92</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >31 May 2022<span class=""tooltiptext"">02:00 CEST</span></div>","<div class=""text-right"">4.808</div>","<div class=""text-right"">17 Jul 2023</div>"
60,,<a href='/en/product/equities/NL0000303709-BGEM/aegon/1agn/quotes' data-order='AEGON' data-title-hover='AEGON'>AEGON</a>,NL0000303709,1AGN,<div class='nowrap pointer' title='Borsa Italiana Global Equity Market' >BGEM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>4.808</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>2.21%</span></div>,"<div class='text-right pointer tooltipDesign' >12 Jul 2023<span class=""tooltiptext"">09:55 CEST</span></div>","<div class=""text-right"">4.808</div>","<div class=""text-right"">17 Jul 2023</div>"
61,,<a href='/en/product/equities/NL0000303709-XAMS/aegon/agn/quotes' data-order='AEGON' data-title-hover='AEGON'>AEGON</a>,NL0000303709,AGN,<div class='nowrap pointer' title='Euronext Amsterdam' >XAMS</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>4.687</span></div>,<div class='text-right pd_percent'><span class=red>-0.28%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">4.687</div>","<div class=""text-right"">17 Jul 2023</div>"
62,,<a href='/en/product/equities/FR0014007ZB4-XPAR/aelis-farma/aelis/quotes' data-order='AELIS FARMA' data-title-hover='AELIS FARMA'>AELIS FARMA</a>,FR0014007ZB4,AELIS,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>13.90</span></div>,<div class='text-right pd_percent'><span class=red>-0.36%</span></div>,"<div class='text-right pointer tooltipDesign' >11:53 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">13.90</div>","<div class=""text-right"">17 Jul 2023</div>"
63,,<a href='/en/product/equities/US00774B2088-XPAR/aerkomm-inc/akom/quotes' data-order='AERKOMM INC' data-title-hover='AERKOMM INC'>AERKOMM INC</a>,US00774B2088,AKOM,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>2.16</span></div>,<div class='text-right pd_percent'><span class=red>-26.53%</span></div>,"<div class='text-right pointer tooltipDesign' >09 Jun 2023<span class=""tooltiptext"">09:00 CEST</span></div>","<div class=""text-right"">2.16</div>","<div class=""text-right"">17 Jul 2023</div>"
64,,<a href='/en/product/equities/IT0001006128-MTAA/aeroporto-g-m-bo/adb/quotes' data-order='AEROPORTO G. M. BO' data-title-hover='AEROPORTO GUGLIELMO MARCONI DI BOLOGNA'>AEROPORTO G. M. BO</a>,IT0001006128,ADB,<div class='nowrap pointer' title='Euronext Milan' >MTAA</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>8.18</span></div>,<div class='text-right pd_percent'><span class=red>-1.45%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">8.18</div>","<div class=""text-right"">17 Jul 2023</div>"
65,,<a href='/en/product/equities/NO0003078107-XOSL/af-gruppen/afg/quotes' data-order='AF GRUPPEN' data-title-hover='AF GRUPPEN'>AF GRUPPEN</a>,NO0003078107,AFG,<div class='nowrap pointer' title='Oslo Børs' >XOSL</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>129.60</span></div>,<div class='text-right pd_percent'><span class=red>-0.92%</span></div>,"<div class='text-right pointer tooltipDesign' >16:25 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">129.60</div>","<div class=""text-right"">17 Jul 2023</div>"
66,,<a href='/en/product/equities/FR001400FL38-XPAR/affluent-med-bsar/afmbs/quotes' data-order='AFFLUENT MED BSAR' data-title-hover='AFFLUENT MED BSAR'>AFFLUENT MED BSAR</a>,FR001400FL38,AFMBS,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>0.03</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >06 Jul 2023<span class=""tooltiptext"">15:33 CEST</span></div>","<div class=""text-right"">0.03</div>","<div class=""text-right"">17 Jul 2023</div>"
67,,<a href='/en/product/equities/FR0013333077-XPAR/affluent-medical/afme/quotes' data-order='AFFLUENT MEDICAL' data-title-hover='AFFLUENT MEDICAL'>AFFLUENT MEDICAL</a>,FR0013333077,AFME,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.155</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.43%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">1.155</div>","<div class=""text-right"">17 Jul 2023</div>"
68,,<a href='/en/product/equities/FR0014005AC9-ALXP/afyren/alafy/quotes' data-order='AFYREN' data-title-hover='AFYREN'>AFYREN</a>,FR0014005AC9,ALAFY,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>5.66</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>1.43%</span></div>,"<div class='text-right pointer tooltipDesign' >14:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">5.66</div>","<div class=""text-right"">17 Jul 2023</div>"
69,,<a href='/en/product/equities/FR0011908045-XMLI/ag3i/mlagi/quotes' data-order='AG3I' data-title-hover='AG3I'>AG3I</a>,FR0011908045,MLAGI,<div class='nowrap pointer' title='Euronext Access Paris' >XMLI</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>0.35</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>12.18%</span></div>,"<div class='text-right pointer tooltipDesign' >16 Jun 2023<span class=""tooltiptext"">16:30 CEST</span></div>","<div class=""text-right"">0.35</div>","<div class=""text-right"">17 Jul 2023</div>"
70,,<a href='/en/product/equities/IT0005421919-EXGM/agatos/aga/quotes' data-order='AGATOS' data-title-hover='AGATOS'>AGATOS</a>,IT0005421919,AGA,<div class='nowrap pointer' title='Euronext Growth Milan' >EXGM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>0.415</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">0.415</div>","<div class=""text-right"">17 Jul 2023</div>"
71,,<a href='/en/product/equities/BE0974264930-XBRU/ageas/ags/quotes' data-order='AGEAS' data-title-hover='AGEAS'>AGEAS</a>,BE0974264930,AGS,<div class='nowrap pointer' title='Euronext Brussels' >XBRU</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>37.09</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">37.09</div>","<div class=""text-right"">17 Jul 2023</div>"
72,,<a href='/en/product/equities/BE0974264930-MTAH/ageas/2ags/quotes' data-order='AGEAS' data-title-hover='AGEAS'>AGEAS</a>,BE0974264930,2AGS,<div class='nowrap pointer' title='Trading After Hours' >MTAH</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>37.49</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >14 Jul 2022<span class=""tooltiptext"">02:00 CEST</span></div>","<div class=""text-right"">37.10</div>","<div class=""text-right"">17 Jul 2023</div>"
